,wkt_geom,OBJECTID_1,Post,Category,Group,Placename,REGION,SHEET,UnitID,Status,Uz_name,Prov_name,XCOORD,YCOORD,Unnamed: 14,text,ru_uezd,_type,page,name,alt_name,ru_prov,source_url,html_text,name_modern_sp,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,partof_id,admin1_partof,admin2_partof,lc_translit,translit_prov_stem,settle_prov_stem
11,POINT(36.67229837556972427 49.5258589965968099),6359,1,village (derevnia),rural,Andreevka,3,Atlas 025,150,Regular,Zmiev (or Chuguev?),Khar'kovskaia,36.672298,49.525859000000004,,"АНДРЕЕВКА, слобода Харьковскаго Намѣстничества въ Изюмскомъ уѣздѣ ; въ оной бываетъ въ году двѣ ярмарки : первая Іюля 20, въ день Пророка Иліи, вторая Октября 26, въ день Великомученика Димитрія. Купцы на оныя пріѣзжаютъ изъ разныхъ Росссійскихъ городовъ съ шелковыми , бумажными , гарусными и прочими товарами.",Изюмскомъ уѣздѣ,слобода,12,Андреевка,,Харьковскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНДРЕЕВКА, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества въ Изюмскомъ уѣздѣ ; въ оной бываетъ въ году двѣ ярмарки : первая Іюля 20, въ день Пророка Иліи, вторая Октября </span><span class=""font0"" style=""font-style:italic;"">26, </span><span class=""font0"">въ день Великомученика Димитрія. Купцы на оныя пріѣзжаютъ изъ разныхъ Росссійскихъ городовъ съ шелковыми , бумажными , гарусными и прочими товарами.</span>",Андреевка,Харьковского Наместничества,Изюмском уезде,харьковск,изюмск,харьковск|изюмск,69.0,37.0,69.0,Andreevka,khar'kovsk,khar'kovsk
23,POINT(39.04530441067814905 49.01563089079348146),16693,0,selo or sloboda,rural,Alekseevka,1,Atlas 037,347,Regular,Starobel'sk,Voronezhskaia,39.045304,49.015631,,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",not_in_text,слобода,11,Алексѣевка,,Воронежскомъ Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.</span>",Алексеевка,Воронежском Наместничества,not_иn_text,воронежск,нот_ин_теxт,воронежск,5.0,5.0,,Alekseevka,voronezhsk,voronezhsk
25,POINT(43.67798084048066443 54.19073148470797463),7975,1,registered (pripisnoj) town,urban,Troitsk,10,Atlas 040,381,Regular,Krasnoslobodsk (Troitsk),Penzenskaia,43.677981,54.19073100000001,,"ТРОИЦКЪ, съ 1780 году родъ Пензенскаго Намѣстничества. Въ немъ бываетъ ярмарка Іюня 29 дня, сверхъ обыкновенныхъ каждонедѣлъныхъ торговъ.",not_in_text,родъ,116,Троицкъ,,Пензенскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=115,"ТРОИЦКЪ, съ 1780 году </span><span class=""font0"" style=""font-style:italic;"">родъ</span><span class=""font0""> Пензенскаго Намѣстничества. Въ немъ бываетъ ярмарка Іюня 29 дня, сверхъ обыкновенныхъ каждонедѣлъныхъ торговъ.</span>",Троицк,Пензенского Наместничества,not_иn_text,пензенск,нот_ин_теxт,пензенск,22.0,22.0,,Troitsk,penzensk,penzensk
27,POINT(63.59355934757688544 55.97328648368063853),5598,1,uezd town,urban,Shadrinsk,1,Atlas 051,13,Regular,Shadrinsk,Permskaia,63.593559,55.973286,,"ШАДРИНСКЪ, съ 1781 году городъ Пермскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки: первая Іюня 29, вторая Ноября 3, третія въ первое Воскресеніе вели-каго поста; на оныхъ торгуютъ мѣлочными товарами.",not_in_text,городъ,128,Шадринскъ,,Пермскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=127,"ШАДРИНСКЪ, съ 1781 году </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Пермскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки: первая Іюня 29, вторая Ноября 3, третія въ первое Воскресеніе вели-</span>каго поста; на оныхъ торгуютъ мѣлочными товарами.",Шадринск,Пермского Наместничества,not_иn_text,пермск,нот_ин_теxт,пермск,23.0,23.0,,Shadrinsk,permsk,permsk
28,POINT(63.2031041625848502 57.52881860488939481),5970,1,uezd town,urban,Irbit,3,Atlas 051,15,Regular,Irbit,Permskaia,63.203104,57.52881899999999,,"ИРБИТЪ, городъ Пермскаго Намѣстничества. Здѣсь всякой годъ въ половинѣ Генваря мѣсяца бываетъ великая ярмарка , которая двѣ и три недѣли продолжается, сего для сдѣланъ тамъ большой четвероугольной гостиной дворъ, въ которомъ вдоль стѣнъ девяносто одна , да еще въ срединѣ въ двухъ рядахъ пятдесятъ осьмь лавокъ, и въ которомъ происходитъ во время ярмарки настоящій торгъ, сверхъ того и еще кромѣ онаго гостинаго двора во многихъ шалашахъ, сдѣланныхъ изъ досокъ , въ то время съѣстными припасами и разными мѣлочьии торгуютъ",not_in_text,городъ,50,Ирбитъ,,Пермскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=49,"ИРБИТЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Пермскаго Намѣстничества. Здѣсь </span><span class=""font0"" style=""font-style:italic;"">вся</span><span class=""font0"">кой годъ въ половинѣ Генваря мѣсяца бываетъ великая ярмарка , которая двѣ и три недѣли продолжается, сего для сдѣланъ тамъ большой четвероугольной гостиной дворъ, въ которомъ вдоль стѣнъ девяносто одна , да еще въ срединѣ въ двухъ рядахъ пятдесятъ осьмь лавокъ, и въ которомъ происходитъ во время ярмарки настоящій торгъ, сверхъ того и еще кромѣ онаго гостинаго двора во многихъ шалашахъ, сдѣланныхъ изъ досокъ , въ то время съѣстными припасами и разными мѣлочьии торгуютъ</span>",Ирбит,Пермского Наместничества,not_иn_text,пермск,нот_ин_теxт,пермск,23.0,23.0,,Irbit,permsk,permsk
56,POINT(37.38705733025967248 55.75066091513046729),6490,0,selo or sloboda,rural,Pokrovskoe,1,Atlas 021,177,Regular,Moskva,Moskovskaia,37.387057,55.750661,,"ПОКРОВСКОЕ, село Московской Губерніи въ уѣздѣ города Рузы. Въ семъ селѣ бываетъ годовая ярмарка Октября 1 дня; торгуютъ разными мѣлочными товарами.",Рузы,село,90,Покровское,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=89,"ПОКРОВСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ уѣздѣ города Рузы. Въ семъ селѣ бываетъ годовая ярмарка Октября 1 дня; торгуютъ разными мѣлочными товарами.</span>",Покровское,Московской Губернии,Рузы,московск,руз,московск|руз,115.0,1.0,115.0,Pokrovskoe,moskovsk,moskovsk
60,POINT(38.01424806321223571 55.62217888422220113),6484,0,selo or sloboda,rural,Pokrovskoe,3,Atlas 021,179,Regular,Bronnitsy,Moskovskaia,38.014248,55.622179,,"ПОКРОВСКОЕ, село Московской Губерніи въ уѣздѣ города Рузы. Въ семъ селѣ бываетъ годовая ярмарка Октября 1 дня; торгуютъ разными мѣлочными товарами.",Рузы,село,90,Покровское,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=89,"ПОКРОВСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ уѣздѣ города Рузы. Въ семъ селѣ бываетъ годовая ярмарка Октября 1 дня; торгуютъ разными мѣлочными товарами.</span>",Покровское,Московской Губернии,Рузы,московск,руз,московск|руз,115.0,1.0,115.0,Pokrovskoe,moskovsk,moskovsk
64,POINT(37.04259830643109552 56.40836179988807686),6749,0,selo or sloboda,rural,Pokrovskoe,12,Atlas 021,188,Regular,Klin,Moskovskaia,37.042598,56.408362,,"ПОКРОВСКОЕ, село Московской Губерніи въ уѣздѣ города Рузы. Въ семъ селѣ бываетъ годовая ярмарка Октября 1 дня; торгуютъ разными мѣлочными товарами.",Рузы,село,90,Покровское,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=89,"ПОКРОВСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ уѣздѣ города Рузы. Въ семъ селѣ бываетъ годовая ярмарка Октября 1 дня; торгуютъ разными мѣлочными товарами.</span>",Покровское,Московской Губернии,Рузы,московск,руз,московск|руз,115.0,1.0,115.0,Pokrovskoe,moskovsk,moskovsk
97,POINT(38.97896471670048868 52.78952211650830151),8479,0,selo or sloboda,rural,Pokrovskoe,8,Atlas 029,399,Regular,Elets,Orlovskaia,38.978965,52.789522,,"ПОКРОВСКОЕ , ЛЮБОША тожь, село Орловскаго Намѣстничества въ Ливенскомъ уѣздѣ. Въ ономъ бываетъ годовая ярмарка 15 Іюля; пріѣзжаютъ сюда окрестные купцы съ шелковыми и другими мѣлочными товарами, также и крестьяне.",Ливенскомъ уѣздѣ,село,90,Покровское,Любоша,Орловскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=89,"ПОКРОВСКОЕ , ЛЮБОША тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Орловскаго Намѣстничества въ Ливенскомъ уѣздѣ. Въ ономъ бываетъ годовая ярмарка 15 Іюля; пріѣзжаютъ сюда окрестные купцы съ шелковыми и другими мѣлочными товарами, также и крестьяне.</span>",Покровское,Орловского Наместничества,Ливенском уезде,орловск,ливенск,орловск|ливенск,87.0,21.0,87.0,Pokrovskoe,orlovsk,orlovsk
148,POINT(37.37473986607940191 55.42112575077506165),6521,0,selo or sloboda,rural,Troitskoe,6,Atlas 021,181,Regular,Podol'sk,Moskovskaia,37.37474,55.421126,,"ТРОИЦКОЕ, село Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ немъ бываетъ ярмарка о Троицынѣ дни.",Звенигородскомъ уѣздѣ,село,116,Троицкое,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=115,"ТРОИЦКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ немъ бываетъ ярмарка о Троицынѣ дни.</span>",Троицкое,Московской Губернии,Звенигородском уезде,московск,звенигородск,московск|звенигородск,67.0,1.0,67.0,Troitskoe,moskovsk,moskovsk
