,uniq_id,ru_old_orth,alt_name,partof_id,x_coord,y_coord,ru_featuretype,SOURCE,description,ru_new_orth,lc_trans,pres_loc,country,country_code
0,1,Московская,,,37.617778,55.751667000000005,Губернія,,,Московская,Moskovskaia,"Moscow, Moscow",Russia,RU
1,2,Архангельское,,,40.533333,64.533333,Намѣстничество,,,Архангельское,Arkhangel'skoe,"Arkhangelsk, Arkhangelsk Oblast",Russia,RU
2,3,Владимерское,,,40.416667,56.13333299999999,Намѣстничество,,,Владимерское,Vladimerskoe,"Vladimir, Vladimir Oblast",Russia,RU
3,4,Вологодское,,,39.883333,59.2,Намѣстничество,,,Вологодское,Vologodskoe,"Vologda, Vologda Oblast",Russia,RU
4,5,Воронежское,,,39.210556,51.671667,Намѣстничество,,,Воронежское,Voronezhskoe,"Voronezh, Voronezh Oblast",Russia,RU
5,6,Выборгское,,,28.744166999999997,60.709167,Намѣстничество,,,Выборгское,Vyborgskoe,"Vyborg, Leningrad Oblast",Russia,RU
6,7,Вятское,,,49.65,58.6,Намѣстничество,,,Вятское,Viatskoe,"Kirov, Kirov Oblast",Russia,RU
7,8,Екатеринославское,,,35.018155,48.466601000000004,Намѣстничество,,,Екатеринославское,Ekaterinoslavskoe,"Dnepropetrovsk, Dnipropetrovsk Oblast",Ukraine,UA
8,9,Иркутское,,,104.3,52.283333,Намѣстничество,,,Иркутское,Irkutskoe,"Irkutsk, Irkutsk Oblast",Russia,RU
9,10,Кавказское,,,48.036667,46.323611,Намѣстничество,,,Кавказское,Kavkazskoe,"Astrakhan, Astrakhan Oblast",Russia,RU
10,11,Казанское,,,49.114444,55.790833,Намѣстничество,,,Казанское,Kazanskoe,"Kazan, Tatarstan",Russia,RU
11,12,Калужское,,,36.266667,54.533333,Намѣстничество,,,Калужское,Kaluzhskoe,"Kaluga, Kaluga Oblast",Russia,RU
