,hgr_id,name,alt_name,partof_id,lng,lat,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,src,ru_prov,prov_modern_sp,prov_stem,ru_uezd,page,lc_translit
0,3,Авдулово,Ивановское,62.0,38.6293,53.29975,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВДУЛОВО, ИВАНОВСКОЕ тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.",Авдулово,Avdulovo,Авдулово,Lipetsk,Russia,580282,RU,http://api.geonames.org/search?name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&featureClass=P&type=json&south=53.0517&west=38.154&north=55.9254&east=41.6952,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,Донковскомъ уѣздѣ,10,Avdulovo
1,3,Авдулово,Ивановское,62.0,38.27945,55.07755,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВДУЛОВО, ИВАНОВСКОЕ тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.",Авдулово,Avdulovo Pervoye,Авдулово,Moskovskaya,Russia,580281,RU,http://api.geonames.org/search?name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&featureClass=P&type=json&south=53.0517&west=38.154&north=55.9254&east=41.6952,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,Донковскомъ уѣздѣ,10,Avdulovo
2,3,Авдулово,Ивановское,62.0,38.26766,55.08048,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВДУЛОВО, ИВАНОВСКОЕ тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.",Авдулово,Avdulovo Vtoroye,Авдулово,Moskovskaya,Russia,873804,RU,http://api.geonames.org/search?name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&featureClass=P&type=json&south=53.0517&west=38.154&north=55.9254&east=41.6952,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,Донковскомъ уѣздѣ,10,Avdulovo
3,4,Авженская,,55.0,not_found,not_found,волость,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВЖЕНСКАЯ , волость Вологодскаго Намѣстничества и уѣзду. Здѣсь бываетъ два раза въ годъ ярмарка , на коей торгуютъ Вологодскіе купцы мѣлочными товарами.",Авженская,not_found,Авженская,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%B2%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F&username=jaguillette&featureClass=P&type=json&south=57.25&west=37.83&north=64.08&east=57.25,geonames,Вологодскаго Намѣстничества,Вологодского Наместничества,вологодск,Вологодскаго уѣздѣ,10,Avzhenskaia
4,5,Адоватово,,42.0,not_found,not_found,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АДОВАТОВО, село Нижегородскаго Намѣстничества въ Арзамаскомъ уѣздѣ ; въ ономъ бываетъ одна въ году ярмарка.",Адоватово,not_found,Адоватово,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%BE%D0%B2%D0%BE&username=jaguillette&featureClass=P&type=json&south=52.32867&west=40.00205&north=60.32867&east=48.00205,geonames,Нижегородскаго Намѣстничества,Нижегородского Наместничества,нижегородск,Арзамаскомъ уѣздѣ,10,Adovatovo
5,6,Аксель,,126.0,43.41977,54.59831,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel,Аксель,Mordoviya,Russia,583664,RU,http://api.geonames.org/search?name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&featureClass=P&type=json&south=48.716667&west=37.433333&north=56.716667&east=45.433333,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,Темниковскомъ уѣздѣ,10,Aksel'
6,6,Аксель,,126.0,43.84813,54.82592,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel,Аксель,Nizjnij Novgorod,Russia,6659318,RU,http://api.geonames.org/search?name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&featureClass=P&type=json&south=48.716667&west=37.433333&north=56.716667&east=45.433333,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,Темниковскомъ уѣздѣ,10,Aksel'
7,6,Аксель,,126.0,41.98333,54.05,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel’meyevo,Аксель,Rjazan,Russia,583663,RU,http://api.geonames.org/search?name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&featureClass=P&type=json&south=48.716667&west=37.433333&north=56.716667&east=45.433333,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,Темниковскомъ уѣздѣ,10,Aksel'
8,6,Аксель,,126.0,43.83333,54.83333,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel’skiye Vyselki,Аксель,Nizjnij Novgorod,Russia,583662,RU,http://api.geonames.org/search?name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&featureClass=P&type=json&south=48.716667&west=37.433333&north=56.716667&east=45.433333,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,Темниковскомъ уѣздѣ,10,Aksel'
9,7,Алатырь,,30.0,46.5813,54.8421,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",Алатырь,Alatyr',Алатырь,Chuvashia,Russia,583437,RU,http://api.geonames.org/search?name=%D0%90%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%8C&username=jaguillette&featureClass=P&type=json&south=50.316667&west=44.366667&north=58.316667&east=52.366667,geonames,Синбирскаго Намѣстничества,Синбирского Наместничества,синбирск,not_in_text,10,Alatyr'
