,text,_type,name,google_reconcile,google_lat,google_lng,google_url,geo_placename,geo_lat,geo_lng,geo_id,geo_url
ІОСИФОВЪ," </span><span class=""font0"" style=""font-style:italic;"">монастырь</span><span class=""font0""> той же Губерніи вЪ Волоколамскомъ уѣздѣ. Здѣсь бываютъ годовыя ярмарки: первая вЪ день Пятидесятницы , вторая Сентября 8 Дня.</span>",монастырь,ІОСИФОВЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=ІОСИФОВЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=ІОСИФОВЪ
АБЗАЛЬ ," </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Ревельскаго Намѣстничества.Въ немЪ бываетъ одна вЪ году ярмарка.</span>",городъ,АБЗАЛЬ ,"Abzal Bus Stop, Bukhar-Zhyrau Avenue, Karagandy 100000, Kazakhstan",49.8042101,73.0872345,https://maps.googleapis.com/maps/api/geocode/json?address=АБЗАЛЬ ,Mazra‘eh-ye Ābzal,31.51667,53.83333,124470,http://api.geonames.org/search?username=jaguillette&type=json&name=АБЗАЛЬ 
АВДУЛОВО," ИВАНОВСКОЕ тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Рязанскаго Намѣстничества вЪ ДонковскомЪ уѣздѣ, Здѣсь бываетЪ одна годовая ярмарка вЪ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне сЪ мѣлочными товарами.</span>",село,АВДУЛОВО,"Avdulovo, Lipetsk Oblast, Russia, 399837",53.300006,38.6298386,https://maps.googleapis.com/maps/api/geocode/json?address=АВДУЛОВО,Avdulovo,53.29975,38.6293,580282,http://api.geonames.org/search?username=jaguillette&type=json&name=АВДУЛОВО
АВЖЕНСКАЯ ," </span><span class=""font0"" style=""font-style:italic;"">волость </span><span class=""font0"">Во</span><span class=""font0"" style=""font-style:italic;"">л</span><span class=""font0"">огодскаго Намѣстничества и уѣзду. Здѣсь бываетъ два раза вЪ годЪ ярмарка , на коей торгуютЪ Вологодскіе купцы мѣлочными товарами.</span>",волость,АВЖЕНСКАЯ ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АВЖЕНСКАЯ ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АВЖЕНСКАЯ 
АДОВАТОВО," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Нижегородскаго Намѣстничества вЪ АрзамаскомЪ уѣздѣ ; вЪ ономЪ бываетъ одна вЪ году ярмарка.</span>",село,АДОВАТОВО,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АДОВАТОВО,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АДОВАТОВО
АКСЕЛЬ," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тамбовскаго Намѣстничества вЪ ТемниковскомЪ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхЪ еженедѣльныхъ торговъ, вЪ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютЪ изЪ ближнихЪ городовъ сЪ шелковыми и бумажными товарами, хлѣбомЪ и прочими припасами.</span>",село,АКСЕЛЬ,"Axel Heiberg Island, Baffin, Unorganized, NU, Canada",79.8286535,-91.267883,https://maps.googleapis.com/maps/api/geocode/json?address=АКСЕЛЬ,Aksel,54.59831,43.41977,583664,http://api.geonames.org/search?username=jaguillette&type=json&name=АКСЕЛЬ
АЛАТЫРЬ," </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Синбирскаго Намѣстничества.Въ уѣздѣ сего города бываетъ годовыхЪ семь ярмарокъ.</span>",городъ,АЛАТЫРЬ,"Alatyr', Nizhny Novgorod Oblast, Russia, 607760",54.8291295,43.7270299,https://maps.googleapis.com/maps/api/geocode/json?address=АЛАТЫРЬ,Alatyr',54.8421,46.5813,583437,http://api.geonames.org/search?username=jaguillette&type=json&name=АЛАТЫРЬ
АЛЕКСАНДРОВА ПУСТЫНЯ," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка вЪ Іюнѣ мѣсяцѣ ; съѣзжаются купцы сЪ разными товарами изЪ ближнихЪ городовъ, а именно: Ярославля, Ростова, Романова, Углича, Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.</span>",село,АЛЕКСАНДРОВА ПУСТЫНЯ,"Aleksandrova Pustyn', Yaroslavl Oblast, Russia, 152983",57.8517921,38.9981104,https://maps.googleapis.com/maps/api/geocode/json?address=АЛЕКСАНДРОВА ПУСТЫНЯ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АЛЕКСАНДРОВА ПУСТЫНЯ
АЛЕКСАНДРОВСКОЕ," ЧЕРКАСКОЕ тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества вЪ КеренскомЪ уѣздѣ. Здѣсь бываетъ вЪ году ярмарка вЪ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изЪ близЪ лежащихъ городовъ сЪ разными мѣлочными товарами ; торгуютЪ также лошадьми, рогатымЪ скотомЪ и прочимъ.</span>",село,АЛЕКСАНДРОВСКОЕ,"Alexandrovskoye, Stavropol Krai, Stavropol Krai, Russia",44.716667,43,https://maps.googleapis.com/maps/api/geocode/json?address=АЛЕКСАНДРОВСКОЕ,Aleksandrovskoye,44.71417,43.00083,582993,http://api.geonames.org/search?username=jaguillette&type=json&name=АЛЕКСАНДРОВСКОЕ
АЛЕКСИНЪ," </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Тульскаго Намѣстничества. Здѣсь бываютъ двѣ вЪ году ярмарки: первая Іюля 1, вторая Августа 29 дня. На оныя пріѣзжаютъ сЪ разными москотильными товарами.</span>",городъ,АЛЕКСИНЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АЛЕКСИНЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АЛЕКСИНЪ
