,lat_x,hgr_id,name,alt_name,partof_id,lng,lat_y,_type,source_url,text,name_modern_sp,lc_translit,pres_loc,country,country_code,result_placename,searched_placename,admin1,country_name,src_id,url,src,ru_prov,prov_modern_sp,prov_stem,ru_uezd,page
131,1,48,Бобровское,,23.0,64.16392,57.50211,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=17,"БОБРОВСКОЕ, село Пермскаго Намѣстничества въ Краснослободскомъ дистриктѣ. Здѣсь бываетъ въ день перво-верховныхъ Апостоловъ Петра к Павла и два дни послѣ онаго ярмарка, которая особливо славна лошадиною торговлею. Построено также двадцать деревянныхъ лавокъ для купцовъ, пріѣзжающихъ на сію ярмарку, гдѣ они складывая свои товары , торгъ производятъ.",Бобровское,Bobrovskoe,"Slobodo-Turinskiy rayon, Sverdlovsk Oblast",Russia,RU,Bobrovskoye,Бобровское,Sverdlovsk,Russia,1509926,http://api.geonames.org/search?type=json&username=jaguillette&east=65.27&name=%D0%91%D0%BE%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5&north=61.8&south=55.22&west=50.56&featureClass=P,geonames,Пермскаго Намѣстничества,Пермского Наместничества,пермск,not_in_text,18
140,1,54,Богородицкъ,,35.0,38.12408,53.77166,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=18,"БОГОРОДИЦКЪ, городъ Тульскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка Іюля 7 и 8 дня, на которую изъ городовъ Тулы , Епифани, Кропивны , Дѣдилова, Ефремова и Донкова привозятъ мѣлочные красные товары , а оныхъ городовъ изъ уѣздовъ крестьяне колесы и лыки.",Богородицк,"Bogoroditsk""","Bogoroditsk, Tula Oblast",Russia,RU,Bogoroditsk,Богородицк,Tula,Russia,575591,http://api.geonames.org/search?type=json&username=jaguillette&east=39.6827&name=%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D0%BA&north=55.0867&south=52.8329&west=35.5421&featureClass=P,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,not_in_text,19
141,1,55,Богородицкъ,,41.0,38.12408,53.77166,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=18,"БОГОРОДИЦКЪ , село того же Намѣстничества въ Алексинскомъ уѣздѣ. Въ ономъ бываетъ ярмарка Іюля 8 Октября 22; торгуютъ купцы нужными для крестьянства товарами.",Богородицк,"Bogoroditsk""","Bogoroditsk, Tula Oblast",Russia,RU,Bogoroditsk,Богородицк,Tula,Russia,575591,http://api.geonames.org/search?type=json&username=jaguillette&east=39.6827&name=%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D0%BA&north=55.0867&south=52.8329&west=35.5421&featureClass=P,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,Алексинскомъ уѣздѣ,19
163,1,72,Борятино,,79.0,35.55015,54.34461,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=20,"БОРЯТИНО, село Калужскаго Намѣстничества въ Козельскомъ уѣздѣ. Здѣсь бываетъ торгъ одинъ день въ недѣлѣ въ четверпюкъ; купечество изъ Калуги , Мещовска , Болхова , Бѣлева и другихъ городовъ привозятъ товары москотильные; но есть нѣсколько бумажныхъ, шелковыхъ и другихъ матерій; а по большей части и уѣздные крестьяне привозятъ разные уѣздные товары, всякой хлѣбѣ, пеньку , масло , медъ , воскъ, вощину, парусную уточную пря-жу , холстъ льняной , посконной разныя крестьянскія рукодѣлья и Другіе мѣлочные товары.",Борятино,Boriatino,"Meshchovsky District, Kaluga Oblast",Russia,RU,Baryatino,Борятино,Kaluga,Russia,571933,http://api.geonames.org/search?type=json&username=jaguillette&east=37.3796&name=%D0%91%D0%BE%D1%80%D1%8F%D1%82%D0%B8%D0%BD%D0%BE&north=55.374&south=53.2604&west=33.3881&featureClass=P,geonames,Калужскаго Намѣстничества,Калужского Наместничества,калужск,Козельскомъ уѣздѣ,21
210,1,97,Варва,,111.0,32.71968,50.49503,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=24,"ВАРВА, мѣстечко Черниговскаго Намѣстничества въ Прилуцкомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки :    первая Маія 9, вторая Іюня 29, третія Ноября 1. На оныхъ торгуютъ окольные жители своими произрастѣніями, какъ - то хлѣбомъ , разнымъ скотомъ , съѣстными припасами , сѣномъ, дегтемъ и прочими мѣлочьми; здѣсь такжебываетъ и еженедѣльной торгъ въ среду.",Варва,Varva,"Varva, Chernihivs'ka oblast",Ukraine,UA,Varva,Варва,Chernihiv,Ukraine,690469,http://api.geonames.org/search?type=json&username=jaguillette&east=35.3&name=%D0%92%D0%B0%D1%80%D0%B2%D0%B0&north=55.5&south=47.5&west=27.3&featureClass=P,geonames,Черниговскаго Намѣстничества,Черниговского Наместничества,черниговск,Прилуцкомъ уѣздѣ,25
566,1,214,Елецъ,,21.0,38.50169,52.62366,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=41,"ЕЛЕЦЪ, городъ Орловскаго Намѣстничества. Здѣсь бываютъ торжки въ Аргамачей слободѣ Сентября въ 8 день, а въ уѣздѣ его въ селѣ Подворгальскомъ Маія 21, при ТешевскомъЗадонскомъ Богородицкомъ монастырѣ Іюля 23 день, въ селѣ Петровскомъ Іюня 29, въ селѣ Тюртенѣ Іюля въ 8 день. На сихъ ярмаркахъ торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товары, а обыватели продаютъ купцамъ и своей братьи лошадей , скотину , холстъ и съѣстные всякіе припасы и рукодѣлье.",Елец,"Elets""","Yelets, Lipetsk Oblast",Russia,RU,Yelets,Елец,Lipetsk,Russia,467978,http://api.geonames.org/search?type=json&username=jaguillette&east=39.224&name=%D0%95%D0%BB%D0%B5%D1%86&north=54.0138&south=51.8511&west=32.7557&featureClass=P,geonames,Орловскаго Намѣстничества,Орловского Наместничества,орловск,not_in_text,42
820,1,259,Ирбитъ,,23.0,63.071,57.67052,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=49,"ИРБИТЪ, городъ Пермскаго Намѣстничества. Здѣсь всякой годъ въ половинѣ Генваря мѣсяца бываетъ великая ярмарка , которая двѣ и три недѣли продолжается, сего для сдѣланъ тамъ большой четвероугольной гостиной дворъ, въ которомъ вдоль стѣнъ девяносто одна , да еще въ срединѣ въ двухъ рядахъ пятдесятъ осьмь лавокъ, и въ которомъ происходитъ во время ярмарки настоящій торгъ, сверхъ того и еще кромѣ онаго гостинаго двора во многихъ шалашахъ, сдѣланныхъ изъ досокъ , въ то время съѣстными припасами и разными мѣлочьии торгуютъ",Ирбит,"Irbit""","Irbit, Sverdlovsk Oblast",Russia,RU,Irbit,Ирбит,Sverdlovsk,Russia,1505526,http://api.geonames.org/search?type=json&username=jaguillette&east=65.27&name=%D0%98%D1%80%D0%B1%D0%B8%D1%82&north=61.8&south=55.22&west=50.56&featureClass=P,geonames,Пермскаго Намѣстничества,Пермского Наместничества,пермск,not_in_text,50
1110,1,369,Ладога Новая,,263.0,32.30191,60.10246,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=64,"ЛАДОГА НОВАЯ, городъ С. Петербургской Губерніи. Здѣсь бываетъ единожды въ годъ 15 Августа ярмарка, продолжающаяся недѣлю, гдѣ торгуютъ разными Россійскими и заморскими товарами, такожь съѣстными крестьянскими припасами, для сего самого построенъ тамъ гостиной дворъ, окружностью на стѣ осьмидесяти саженяхъ, въ которомъ лавокъ считается шестьдесятъ девять.",Ладога Новая,Ladoga Novaia,"Novaya Ladoga, Leningrad Oblast",Russia,RU,Novaya Ladoga,Ладога Новая,Leningrad,Russia,519630,http://api.geonames.org/search?type=json&username=jaguillette&east=34.31413&name=%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B0+%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F&north=63.93863&south=55.93863&west=26.31413&featureClass=P,geonames,С. Петербургской Губерніи,С Петербургской Губернии,с петербургск,not_in_text,65
1177,1,398,Лютенка,,58.0,34.0367,50.21084,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=69,"ЛЮТЕНКА, мѣстечко Черниговскаго Намѣстничества въ Гадяцкомъ уѣздѣ. Въ ономъ бываетъ  въ годъ три ярмарки: первая въ день Преполовенія , вторая Іюля 20, въ день Св. пророка Иліи, третія 1 Ноября, въ день Космы и Даміана. На оныхъ околичные жители торгуютъ  хлѣбомъ, разнымъ скотомъ и съѣстными припасами, какъ - то рыбою и солью.",Лютенка,Liutenka,"Lyuten'ka, Poltavs'ka oblast",Ukraine,UA,Lyuten'ka,Лютенка,Poltava,Ukraine,702381,http://api.geonames.org/search?type=json&username=jaguillette&east=35.3&name=%D0%9B%D1%8E%D1%82%D0%B5%D0%BD%D0%BA%D0%B0&north=55.5&south=47.5&west=27.3&featureClass=P,geonames,Черниговскаго Намѣстничества,Черниговского Наместничества,черниговск,Гадяцкомъ уѣздѣ,70
1191,1,404,Макарьевъ,,14.0,43.8049,57.88501,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=70,"МАКАРЬЕВЪ на унжѣ, городъ Костромскаго Намѣстничества. Въ немъ бываютъ въ году три ярмарки : первая Іюля на 20, вторая Генваря на 19, третія Марта на 25 число. Пріѣзжаютъ на оныя разныхъ городовъ купцы съ шелковыми, бумажными и прочими мѣлочными товарами.",Макарьев,"Makar'ev""","Makaryev, Kostroma Oblast",Russia,RU,Makar'yev,Макарьев,Kostroma,Russia,532138,http://api.geonames.org/search?type=json&username=jaguillette&east=44.933333&name=%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D1%8C%D0%B5%D0%B2&north=61.766667&south=53.766667&west=36.933333&featureClass=P,geonames,Костромскаго Намѣстничества,Костромского Наместничества,кострома,not_in_text,71
