,Ярославское Наместничество,Черниговское Наместничество,Харьковское Наместничество,Уфимское Наместничество,Тульское Наместничество,Тобольское Наместничество,Тверское Наместничество,Тамбовское Наместничество,Ст Петербургская Губерния,Смоленское Наместничество,Синбирское Наместничество,Саратовское Наместничество,Рязанское Наместничество,Рижское Наместничество,Псковское Наместничество,Полотское Наместничество,Пермское Наместничество,Пензенское Наместничество,Орловское Наместничество,Олонецкое Наместничество,Новогородское Наместничество,Новогород - Северское Наместничество,Нижегородское Наместничество,Московская Губерния,Могилевское Наместничество,Курское Наместничество,Костромское Наместничество,Киевское Наместничество,Калужское Наместничество,Казанское Наместничество,Кавказское Наместничество,Иркутское Наместничество,Екатеринославское Наместничество,Вятское Наместничество,Выборгское Наместничество,Воронежское Наместничество,Вологодское Наместничество,Владимерское Наместничество,Архангельское Наместничество,None,Total
мелочный товар,4.0,12.0,17.0,5.0,24.0,1.0,17.0,18.0,0.0,0.0,2.0,2.0,9.0,0.0,11.0,27.0,2.0,10.0,10.0,0.0,0.0,9.0,2.0,10.0,0.0,2.0,7.0,23.0,7.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,11.0,9.0,2.0,7.0,271.0
шелковый товар,4.0,3.0,24.0,0.0,1.0,0.0,7.0,8.0,0.0,0.0,6.0,3.0,2.0,2.0,3.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,1.0,6.0,0.0,4.0,4.0,1.0,10.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,5.0,121.0
съестной припасы,2.0,15.0,2.0,0.0,7.0,0.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,3.0,7.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,76.0
бумажный товар,1.0,2.0,17.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,66.0
деревянный товар,4.0,8.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,45.0
крестьянский товар,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,39.0
москательный товар,2.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,35.0
мелкий товар,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,31.0
лавочный товар,0.0,3.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,22.0
рукоделие,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0
шерстяной товар,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0
красный товар,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
гарусный товар,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
особливый товар,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
