,hgr_id,name,alt_name,partof_id,lng,lat,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,src,ru_prov,prov_modern_sp,prov_stem,ru_uezd,page,lc_translit
3,4,Авженская,,55.0,not_found,not_found,волость,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВЖЕНСКАЯ , волость Вологодскаго Намѣстничества и уѣзду. Здѣсь бываетъ два раза въ годъ ярмарка , на коей торгуютъ Вологодскіе купцы мѣлочными товарами.",АВЖЕНСКАЯ,not_found,АВЖЕНСКАЯ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%92%D0%96%D0%95%D0%9D%D0%A1%D0%9A%D0%90%D0%AF&username=jaguillette&featureClass=P&type=json&south=57.25&west=37.83&north=64.08&east=57.25,geonames,Вологодскаго Намѣстничества,Вологодского Наместничества,вологодск,Вологодскаго уѣздѣ,10,Avzhenskaia
4,5,Адоватово,,42.0,not_found,not_found,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АДОВАТОВО, село Нижегородскаго Намѣстничества въ Арзамаскомъ уѣздѣ ; въ ономъ бываетъ одна въ году ярмарка.",АДОВАТОВО,not_found,АДОВАТОВО,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%94%D0%9E%D0%92%D0%90%D0%A2%D0%9E%D0%92%D0%9E&username=jaguillette&featureClass=P&type=json&south=52.32867&west=40.00205&north=60.32867&east=48.00205,geonames,Нижегородскаго Намѣстничества,Нижегородского Наместничества,нижегородск,Арзамаскомъ уѣздѣ,10,Adovatovo
11,8,Александрова Пустыня,,136.0,not_found,not_found,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСАНДРОВА ПУСТЫНЯ, село Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка въ Іюнѣ мѣсяцѣ ; съѣзжаются купцы съ разными товарами изъ ближнихъ городовъ, а именно: Ярославля, Ростова, Романова, Углича, Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.",АЛЕКСАНДРОВА ПУСТЫНЯ,not_found,АЛЕКСАНДРОВА ПУСТЫНЯ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%9B%D0%95%D0%9A%D0%A1%D0%90%D0%9D%D0%94%D0%A0%D0%9E%D0%92%D0%90+%D0%9F%D0%A3%D0%A1%D0%A2%D0%AB%D0%9D%D0%AF&username=jaguillette&featureClass=P&type=json&south=53.616667&west=35.85&north=61.616667&east=43.85,geonames,Ярославскаго Намѣстничества,Ярославского Наместничества,ярославск,Ярославскаго уѣздѣ,11,Aleksandrova Pustynia
12,9,Александровское,Черкаское,74.0,not_found,not_found,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, село Пензенскаго Намѣстничества въ Керенскомъ уѣздѣ. Здѣсь бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными мѣлочными товарами ; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.",АЛЕКСАНДРОВСКОЕ,not_found,АЛЕКСАНДРОВСКОЕ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%9B%D0%95%D0%9A%D0%A1%D0%90%D0%9D%D0%94%D0%A0%D0%9E%D0%92%D0%A1%D0%9A%D0%9E%D0%95&username=jaguillette&featureClass=P&type=json&south=52.3247&west=41.8373&north=54.837&east=46.7277,geonames,Пензенскаго Намѣстничества,Пензенского Наместничества,пензенск,Керенскомъ уѣздѣ,11,Aleksandrovskoe
53,12,Алексѣевская,,8.0,not_found,not_found,крѣпость,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВСКАЯ, крѣпость Екатеринославскаго Намѣстничества по Днѣпровской линіи ; въ оной бываютъ въ году три ярмарки.",АЛЕКСЕЕВСКАЯ,not_found,АЛЕКСЕЕВСКАЯ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%9B%D0%95%D0%9A%D0%A1%D0%95%D0%95%D0%92%D0%A1%D0%9A%D0%90%D0%AF&username=jaguillette&featureClass=P&type=json&south=46.07&west=29.6&north=49.99&east=39.14,geonames,Екатеринославскаго Намѣстничества,Екатеринославского Наместничества,екатеринославск,not_in_text,11,Alekseevskaia
83,17,Апичерская,,40.0,not_found,not_found,пустыня,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АПИЧЕРСКАЯ, пустыня Синбирскаго Намѣстничества въ Алатырьскомъ уѣздѣ; здѣсь бываетъ ярмарка въ день Каванскія Богородицы. На сію ярмарку пріѣзжаютъ со всякими шелковыми и прочими товарами изъ Москвы и изъ другихъ городовъ купцы, такожь и крестьяне.",АПИЧЕРСКАЯ,not_found,АПИЧЕРСКАЯ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%9F%D0%98%D0%A7%D0%95%D0%A0%D0%A1%D0%9A%D0%90%D0%AF&username=jaguillette&featureClass=P&type=json&south=50.316667&west=44.366667&north=58.316667&east=52.366667,geonames,Синбирскаго Намѣстничества,Синбирского Наместничества,синбирск,Алатырьскомъ уѣздѣ,12,Apicherskaia
84,18,Аргамачья,,64.0,not_found,not_found,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРГАМАЧЬЯ , слобода Орловскаго Намѣстничества въ Елецкомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 8 дня, на которой торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товарами и дегтемъ; а обыватели продаютъ купцамъ и своей братьи лошадей, скотину, холстъ, съѣстные всякіе припасы и рукодѣлія.",АРГАМАЧЬЯ,not_found,АРГАМАЧЬЯ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%A0%D0%93%D0%90%D0%9C%D0%90%D0%A7%D0%AC%D0%AF&username=jaguillette&featureClass=P&type=json&south=48.966667&west=32.066667&north=56.966667&east=40.066667,geonames,Орловскаго Намѣстничества,Орловского Наместничества,орловск,Елецкомъ уѣздѣ,12,Argamach'ia
87,20,Артемоновка,,128.0,not_found,not_found,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРТЕМОНОВКА , слобода Харьковскаго Намѣстничества и уѣзду; здѣсь бываютъ ярмарки Іюля 8 и Ноября 21, Торгуютъ купцы мѣлочными товарами , пивомъ, медомъ и прочимъ.",АРТЕМОНОВКА,not_found,АРТЕМОНОВКА,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%A0%D0%A2%D0%95%D0%9C%D0%9E%D0%9D%D0%9E%D0%92%D0%9A%D0%90&username=jaguillette&featureClass=P&type=json&south=48.4869&west=33.5563&north=51.5689&east=38.2875,geonames,Харьковскаго Намѣстничества,Харьковского Наместничества,харьковск,Харьковскаго уѣздѣ,12,Artemonovka
91,23,Асаково,,52.0,not_found,not_found,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АСАКОВО , село Тульскаго Намѣстничества въ Веневскомъ уѣздѣ ; здѣсь бываетъ годовая ярмарка Іюля 8 числа; пріѣзжаютъ на оную разныхъ городовъ купцы съ товарами.",АСАКОВО,not_found,АСАКОВО,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%90%D0%A1%D0%90%D0%9A%D0%9E%D0%92%D0%9E&username=jaguillette&featureClass=P&type=json&south=52.8329&west=35.5421&north=55.0867&east=39.6827,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,Веневскомъ уѣздѣ,14,Asakovo
104,29,Балаклеевъ,,69.0,not_found,not_found,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЛАКЛЕЕВЪ , мѣстечко Харьковскаго Намѣстничества въ Изюмовскомъ уѣздѣ. Въ ономъ бываетъ въ году пять ярмарокъ: первая въ недѣлю Ваій, вторая Іюля 12, третія Августа 1, четвертая Сентября 23, пятая Декабря б чиселъ, на которыя пріѣзжаютъ купцы изъ разныхъ городовъ съ шелковыми , бумажными, гарусными и прочими товарами.",БАЛАКЛЕЕВ,not_found,БАЛАКЛЕЕВ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?name=%D0%91%D0%90%D0%9B%D0%90%D0%9A%D0%9B%D0%95%D0%95%D0%92&username=jaguillette&featureClass=P&type=json&south=48.4869&west=33.5563&north=51.5689&east=38.2875,geonames,Харьковскаго Намѣстничества,Харьковского Наместничества,харьковск,Изюмовскомъ уѣздѣ,15,"Balakleev"""
