,SOURCE,admin1_new_orth,admin1_old_orth,admin1_partofID,admin1_std_name,admin1_stem,admin2_new_orth,admin2_old_orth,admin2_partofID,admin2_stem,admin_hierarchy,all_goods_count,alt_name_new_orth,alt_name_old_orth,desc_machine_translated,description_new_orth,description_old_orth,fairs,featuretype_old_orth,ge_бумажный_товар,ge_внутренний_товар,ge_галантерейный_товар,ge_гарусный_товар,ge_деревенский_товар,ge_деревянный_товар,ge_домовый_товар,ge_железный_товар,ge_заморский_товар,ge_крамными_товар,ge_красный_товар,ge_крестьянский_товар,ge_купецкий_товар,ge_лавочный_товар,ge_медный_товар,ge_мелкий_товар,ge_мелочный_товар,ge_мелочь,ge_меховой_товар,ge_москательный_товар,ge_мясо,ge_набойчатый_товар,ge_надлежащий_товар,ge_небогатый_товар,ge_недорогой_товар,ge_нужный_товар,ge_оловянный_товар,ge_особливый_товар,ge_питейный_припасы,ge_привозный_товар,ge_приуготовлять,ge_произрастание,ge_пушной_товар,ge_рукоделие,ge_рукодельный_товар,ge_серебреный_товар,ge_суровский_товар,ge_съестной_припасы,ge_харчевой_припасы,ge_шелковый_товар,ge_шерстяной_товар,ge_щепетильный_товар,general_goods_count,geo_coded,geo_country_code,geo_geonameId,geo_pres_country,geo_pres_loc,geo_x_coord,geo_y_coord,html_text,name_new_orth,name_new_orth_lc,name_old_orth,name_old_orth_lc,page,partof_id,sp_Крымскую_соль,sp_бечева,sp_брусья,sp_веревка,sp_вино,sp_воск,sp_выбойка,sp_гвоздь,sp_говядина,sp_горшок,sp_гумми,sp_дуга,sp_железо,sp_замок,sp_китайка,sp_кожа,sp_колеса,sp_конь,sp_коса,sp_котел,sp_ладан,sp_лес,sp_лошадь,sp_лыко,sp_масло,sp_мед,sp_нитка,sp_обод,sp_овца,sp_овчина,sp_парча,sp_пиво,sp_платок,sp_позумент,sp_покроми,sp_полотно,sp_рогожа,sp_роза,sp_ром,sp_сало,sp_сани,sp_сапог,sp_сахар,sp_сено,sp_сковорода,sp_скот,sp_скотский_кожа,sp_сосуд,sp_сукно,sp_табак,sp_хлеб,sp_холст,sp_хомут,sp_чулок,sp_шелк,specific_goods_count,txt_id
10,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,Пензенского Наместничества,Пензенскаго Намѣстничества,22.0,Пензенское Наместничество,пензенск,Керенском уезде,Керенскомъ уѣздѣ,111.0,керенск,пензенск|керенск,3.0,Черкаское,Черкаское,"Alexandrovsk tozh Cherkasky, a village in the Penza governorship Kerensky County. There is a fair year in the month of June; merchants come from near lying cities with different petty goods; traded as horses, cattle, and other things.","АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, село Пензенского Наместничества в Керенском уезде. Здесь бывает в году ярмарка в Июне месяце ; купцы приезжают из близ лежащих городов с разными мелочными товарами ; торгуют также лошадьми, рогатым скотом и прочим.","АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, село Пензенскаго Намѣстничества въ Керенскомъ уѣздѣ. Здѣсь бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными мѣлочными товарами ; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.",1.0,село,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,not_recorded,RU,http://geonames.org/569167,Russia,"Cherkasskoye, Penzenskaya oblast'",43.10415,53.40241,"АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества въ Керенскомъ уѣздѣ. Здѣсь бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными мѣлочными товарами ; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.</span>",Александровское,Aleksandrovskoe,Александровское,Aleksandrovskoe,11,111.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,10
100,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,Воронежского Наместничества,Воронежскаго Намѣстничества,5.0,Воронежское Наместничество,воронежск,Валуек,Валуекъ,91.0,валуек,воронежск|валуек,,,,"Veidelevka, Sloboda, Voronezh governorship in the county town Valuek. In the case thereof, of the year three fairs.","ВЕЙДЕЛЕВКА, слобода Воронежского Наместничества в уезде города Валуек. В оной бывает в году три ярмарки.","ВЕЙДЕЛЕВКА, слобода Воронежскаго Намѣстничества въ уѣздѣ города Валуекъ. Въ оной бываетъ въ году три ярмарки.",,слобода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_recorded,RU,http://www.geonames.org/473856,Russia,"Veydelevka, Belgorod Oblast",38.4492,50.1521,"ВЕЙДЕЛЕВКА, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Воронежскаго Намѣстничества въ уѣздѣ города Валуекъ. Въ оной бываетъ въ году три ярмарки.</span>",Вейделевка,Veidelevka,Вейделевка,Veidelevka,26,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
101,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,Полотского Наместничества,Полотскаго Намѣстничества,24.0,Полотское Наместничество,полотск,,,166.0,велижск,полотск|велижск,,,,"Velizh city Polotskogo governorship. In this city is the year two fairs: the first on July 20, the second in the first week of Lent.","ВЕЛИЖ, город Полотского Наместничества. В сем городе бывает в году две ярмарки : первая 20 Июля , вторая на первой неделе великого поста.","ВЕЛИЖЪ, городъ Полотскаго Намѣстничества. Въ семъ городѣ бываетъ въ году двѣ ярмарки : первая 20 Іюля , вторая на первой недѣлѣ великаго поста.",2.0,городъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_recorded,RU,http://www.geonames.org/475955,Russia,"Velizh, Smolensk Oblast",31.19673,55.60564,"ВЕЛИЖЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Полотскаго Намѣстничества. Въ семъ городѣ бываетъ въ году двѣ ярмарки : первая 20 Іюля , вторая на первой недѣлѣ великаго поста.</span>",Велиж,Velizh,Велижъ,"Velizh""",26,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
102,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,Ярославского Наместничества,Ярославскаго Намѣстничества,39.0,Ярославское Наместничество,ярославск,Ростовском уезде,Ростовскомъ уѣздѣ,142.0,ростовск,ярославск|ростовск,,,,"Great, Yaroslavl governorship village in the Rostov district. In the hold is annual Fair on September 8 numbers; merchants come from Yaroslavl, St. George and from Pereslavl Zaleski with surovskimi goods.","ВЕЛИКОЕ, село Ярославского Наместничества в Ростовском уезде. В оном бывает годовая ярмарка Сентября 8 числа ; приезжают купцы из Ярославля , Юрьева и из Переславля Залеского с суровскими товарами.","ВЕЛИКОЕ, село Ярославскаго Намѣстничества въ Ростовскомъ уѣздѣ. Въ ономъ бываетъ годовая ярмарка Сентября 8 числа ; пріѣзжаютъ купцы изъ Ярославля , Юрьева и изъ Переславля Залѣскаго съ суровскими товарами.",1.0,село,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,not_recorded,RU,http://www.geonames.org/476019,Russia,"Velikoye, Yaroslavl Oblast",39.77492,57.35072,"ВЕЛИКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Ярославскаго Намѣстничества въ Ростовскомъ уѣздѣ. Въ ономъ бываетъ годовая ярмарка Сентября 8 числа ; пріѣзжаютъ купцы изъ Ярославля , Юрьева и изъ Переславля Залѣскаго съ суровскими товарами.</span>",Великое,Velikoe,Великое,Velikoe,26,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
103,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,Рижского Наместничества,Рижскаго Намѣстничества,27.0,Рижское Наместничество,рижск,,,,венденск,рижск|венденск,,,,"Wendy, the city of Riga governorship. There are two fairs a year: one in Ivanov and the other at Michaelmas; but these should in itself an important conclude nothing.","ВЕНДЕН, город Рижского Наместничества. Здесь бывают в году две ярмарки: одна в Иванов , а другая в Михайлов день; но оные в себе важного ничего не заключают.","ВЕНДЕНЪ, городъ Рижскаго Намѣстничества. Здѣсь бываютъ въ году двѣ ярмарки: одна въ Ивановъ , а другая въ Михайловъ день; но оныя въ себѣ важнаго ничего не заключаютъ.",,городъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_recorded,LV,http://www.geonames.org/460570,Latvia,"Cēsis, Cēsis Municipality",25.27456,57.31188,"ВЕНДЕНЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Рижскаго Намѣстничества. Здѣсь бываютъ въ году двѣ ярмарки: одна въ Ивановъ , а другая въ Михайловъ день; но оныя въ себѣ важнаго ничего не заключаютъ.</span>",Венден,Venden,Венденъ,"Venden""",26,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
104,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,Тульского Наместничества,Тульскаго Намѣстничества,35.0,Тульское Наместничество,тульск,,,93.0,веневск,тульск|веневск,,,,"Venev, Tula city governorship. In this city, there is an annual fair in the tenth Friday after Easter; nonresident merchants peddling a variety of goods.","ВЕНЕВ, город Тульского Наместничества. В сем городе бывает годовая ярмарка в десятую пятницу по Пасхе; торгуют иногородные купцы разными товарами.","ВЕНЕВЪ, городъ Тульскаго Намѣстничества. Въ семъ городѣ бываетъ годовая ярмарка въ десятую пятницу по Пасхѣ; торгуютъ иногородные купцы разными товарами.",1.0,городъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_recorded,RU,http://www.geonames.org/475881,Russia,"Venyov, Tula Oblast",38.26843,54.35533,"ВЕНЕВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Тульскаго Намѣстничества. Въ семъ городѣ бываетъ годовая ярмарка въ десятую пятницу по Пасхѣ; торгуютъ иногородные купцы разными товарами.</span>",Венев,Venev,Веневъ,"Venev""",26,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
105,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,Тульского Наместничества,Тульскаго Намѣстничества,35.0,Тульское Наместничество,тульск,Тульского уезде,Тульскаго уѣздѣ,76.0,тульск,тульск|тульск,,,,"Venevsky Mykolaiv, Tula monastery governorship and counties. There is an annual fair of the day on August 15, which come with the goods from Tula, and Venev. from nearby villages.","ВЕНЕВСКОЙ НИКОЛАЕВСКОЙ, монастырь Тульского Наместничества и уезду. Здесь бывает годовая ярмарка Августа 15 дня , на которую приезжают с товарами из Тулы , Венева и. из ближних сел и деревень.","ВЕНЕВСКОЙ НИКОЛАЕВСКОЙ, монастырь Тульскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка Августа 15 дня , на которую пріѣзжаютъ съ товарами изъ Тулы , Венева и. изъ ближнихъ селъ и деревень.",1.0,монастырь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ВЕНЕВСКОЙ НИКОЛАЕВСКОЙ, </span><span class=""font0"" style=""font-style:italic;"">монастырь</span><span class=""font0""> Тульскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка Августа 15 дня , на которую пріѣзжаютъ съ товарами изъ Тулы , Венева и. изъ ближнихъ селъ и деревень.</span>",Веневской Николаевской,Venevskoi Nikolaevskoi,Веневской Николаевской,Venevskoi Nikolaevskoi,26,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
106,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,Черниговского Наместничества,Черниговскаго Намѣстничества,38.0,Черниговское Наместничество,черниговск,Гадяцком уезде,Гадяцкомъ уѣздѣ,97.0,гадяцк,черниговск|гадяцк,3.0,,,"Veprik, town Chernigov Namestnichlstva in Gadyatskaya County. In the hold is in year three fairs: the first on May 9, the day of St. Nicholas, the second Avgusta29, on the day of the Beheading of St. John the Baptist, the third on November 21, the day of the entrance to the Church of Our Lady. Add-on trade cattle, fishes, various bread and other edibles. There is also ezhedelnoy auction on Sunday for the most part bread.","ВЕПРИК, местечко Черниговского Наместничлства в Гадяцком уезде. В оном бывает в году три ярмарки : первая Мая 9, в день Святителя Николая, вторая Августа29, в день усекновения главы Иоанна Предтечи, третия Ноября 21, в день входа во храм Пресвятые Богородицы. На оных торгуют рогатым скотом , рыбою, разным хлебом и всякими съестными припасами. Здесь бывает также ежедельной торг в воскресенье большею частию хлебом.","ВЕПРИКЪ, мѣстечко Черниговскаго Намѣстничлства въ Гадяцкомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Маія 9, въ день Святителя Николая, вторая Августа29, въ день усѣкновенія главы Іоанна Предтечи, третія Ноября 21, въ день входа во храмъ Пресвятыя Богородицы. На оныхъ торгуютъ рогатымъ скотомъ , рыбою, разнымъ хлѣбомъ и всякими съѣстными припасами. Здѣсь бываетъ также ежедѣльной торгъ въ воскресенье большею частію хлѣбомъ.",4.0,мѣстечко,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,not_recorded,UA,http://www.geonames.org/690023,Ukraine,"Vepryk, Chernihivs'ka oblast",31.62219,50.67765,"ВЕПРИКЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Черниговскаго Намѣстничлства въ Гадяцкомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Маія 9, въ день Святителя Николая, вторая Августа</span><p><span class=""font0"">29, въ день усѣкновенія главы Іоанна Предтечи, третія Ноября 21, въ день входа во храмъ Пресвятыя Богородицы. На оныхъ торгуютъ рогатымъ скотомъ , рыбою, разнымъ хлѣбомъ и всякими съѣстными припасами. Здѣсь бываетъ также ежедѣльной торгъ въ воскресенье большею частію хлѣбомъ.</span></p>",Веприк,Veprik,Веприкъ,"Veprik""",26,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,2.0,106
107,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=26,Московской Губернии,Московской Губерніи,1.0,Московская Губерния,московск,,,94.0,верейск,московск|верейск,7.0,,,"faith, the city of Moscow Province and the province. In the hold there in one year Fair June 23 day Vladimerskiya Dame, and lasts for three days; the judges come to the merchants of Moscow, Tula, Kaluga, Serpukhov, Mozhaisk, Borovsky and other neighboring cities; brought silk, paper, and other goods moskotilnye small number, but for the most part peasants come with linen and cartilage canvas wheels lykami and other petty commodity.","ВЕРЕЯ, город Московской Губернии и Провинции. В оном бывает в году одна ярмарка Июня 23 дня в день Владимерския Богоматери, и продолжается три дни ; на оную приезжают купцы из Москвы , Тулы , Калуги, Серпухова , Можайска , Боровска и прочих ближних городов; привозят шелковые, бумажные, москотильные и прочие товары небольшим числом , а по большей части съезжаются крестьяне с льняным и хрящевым холстом, колесами, лыками и с другим мелочным товаром.","ВЕРЕЯ, городъ Московской Губерніи и Провинціи. Въ ономъ бываетъ въ году одна ярмарка Іюня 23 дня въ день Владимерскія Богоматери, и продолжается три дни ; на оную пріѣзжаютъ купцы изъ Москвы , Тулы , Калуги, Серпухова , Можайска , Боровска и прочихъ ближнихъ городовъ; привозятъ шелковые, бумажные, москотильные и прочіе товары небольшимъ числомъ , а по большей части съѣзжаются крестьяне съ льнянымъ и хрящевымъ холстомъ, колесами, лыками и съ другимъ мѣлочнымъ товаромъ.",1.0,городъ,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,4.0,not_recorded,RU,http://www.geonames.org/475701,Russia,"Vereya, Moscow Oblast",36.17194,55.34472,"ВЕРЕЯ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Московской Губерніи и Провинціи. Въ ономъ бываетъ въ году одна ярмарка Іюня 23 дня въ день Владимерскія Богоматери, и продолжается три дни ; на оную пріѣзжаютъ купцы изъ Москвы , Тулы , Калуги, Серпухова , Можайска , Боровска и прочихъ ближнихъ городовъ; привозятъ шелковые, бумажные, москотильные и прочіе товары небольшимъ числомъ , а по большей части съѣзжаются крестьяне съ льнянымъ и хрящевымъ холстомъ, колесами, лыками и съ другимъ мѣлочнымъ товаромъ.</span>",Верея,Vereia,Верея,Vereia,27,94.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,107
108,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=26,Иркутского Наместничества,Иркутскаго Намѣстничества,9.0,Иркутское Наместничество,иркутск,,,95.0,верхнеудинск,иркутск|верхнеудинск,2.0,,,"TOP Udi, the city of Irkutsk governorship. There are two fairs a year: the first from 15 February to mid-March and the second from 15 June to mid-July; trade and fishing on the add consists of various imported from Irkutsk and other cities of Russian merchants and German goods, which traded at local infidels furs, cattle, horses, and so on. and transported through Trinity fortress Kiakhta for Promen Chinese.","ВЕРХНИЙ УДИНСК, город Иркутского Наместничества. В нем бывают в году две ярмарки : первая Февраля с 15 до половины Марта, а вторая Июня с 15 до половины Июля ; торговля и промысл на оных состоит из разных привозимых из Иркутска и других городов купцами Российских и Немецких товаров, на которые выменивают у здешних иноверцов пушные товары , рогатой скот, лошадей и проч. и отвозят чрез Троицкую крепость в Кяхту для промену Китайцам.","ВЕРХНІЙ УДИНСКЪ, городъ Иркутскаго Намѣстничества. Въ немъ бываютъ въ году двѣ ярмарки : первая Февраля съ 15 до половины Марта, а вторая Іюня съ 15 до половины Іюля ; торговля и промыслъ на оныхъ состоитъ изъ разныхъ привозимыхъ изъ Иркутска и другихъ городовъ купцами Россійскихъ и Нѣмецкихъ товаровъ, на которые вымѣниваютъ у здѣшнихъ иновѣрцовъ пушные товары , рогатой скотъ, лошадей и проч. и отвозятъ чрезъ Троицкую крѣпость въ Кяхту для промѣну Китайцамъ.",2.0,городъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,not_recorded,RU,http://geonames.org/2014407,Russia,"Ulan-Ude, Buryatiya Republits",107.60627,51.82721,"ВЕРХНІЙ УДИНСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Иркутскаго Намѣстничества. Въ немъ бываютъ въ году двѣ ярмарки : первая Февраля съ 15 до половины Марта, а вторая Іюня съ 15 до половины Іюля ; торговля и промыслъ на оныхъ состоитъ изъ разныхъ привозимыхъ изъ Иркутска и другихъ городовъ купцами Россійскихъ и Нѣмецкихъ товаровъ, на которые вымѣниваютъ у здѣшнихъ иновѣрцовъ пушные товары , рогатой скотъ, лошадей и проч. и отвозятъ чрезъ Троицкую крѣпость въ Кяхту для промѣну Китайцамъ.</span>",Верхний Удинск,Verkhnii Udinsk,Верхній Удинскъ,"Verkhnіi Udinsk""",27,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,108
