uniq_id,ru_old_orth,ru_new_orth,lc_translit_old,lc_translit_new,alt_name_old_orth,alt_name_new_orth,alt_name_old_trans,alt_name_new_trans,beg_yr,end_yr,xy_type,x_coord,y_coord,pres_loc,pres_country,country_code,ru_old_featuretype,ru_new_featuretype,ru_translit_old_featuretype,ru_translit_new_featuretype,en_featuretype,id_featuretype,lc_featuretype,admin_level,SOURCE,description,geonameId,partof_id,txt_id
1,Московская Губернія,Московская Губерния,Moskovskaia Gubernіia,Moskovskaia Guberniia,,,,,1785,1796,POINT,37.617778,55.751667,"Moscow, Moscow",Russia,RU,Губернія,Губерния,Gubernіia,Guberniia,Province,,,adminL1,,,,756,
2,Архангельское Намѣстничество,Архангельское Наместничество,Arkhangel'skoe Namiestnichestvo,Arkhangel'skoe Namestnichestvo,,,,,1785,1796,POINT,40.533333,64.533333,"Arkhangelsk, Arkhangelsk Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
3,Владимерское Намѣстничество,Владимерское Наместничество,Vladimerskoe Namiestnichestvo,Vladimerskoe Namestnichestvo,,,,,1785,1796,POINT,40.416667,56.133333,"Vladimir, Vladimir Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
4,Вологодское Намѣстничество,Вологодское Наместничество,Vologodskoe Namiestnichestvo,Vologodskoe Namestnichestvo,,,,,1785,1796,POINT,39.88398,59.2239,"Vologda, Vologda Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
5,Воронежское Намѣстничество,Воронежское Наместничество,Voronezhskoe Namiestnichestvo,Voronezhskoe Namestnichestvo,,,,,1785,1796,POINT,39.210556,51.671667,"Voronezh, Voronezh Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
6,Выборгское Намѣстничество,Выборгское Наместничество,Vyborgskoe Namiestnichestvo,Vyborgskoe Namestnichestvo,,,,,1785,1796,POINT,28.744167,60.709167,"Vyborg, Leningrad Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
7,Вятское Намѣстничество,Вятское Наместничество,Viatskoe Namiestnichestvo,Viatskoe Namestnichestvo,,,,,1785,1796,POINT,49.65,58.6,"Kirov, Kirov Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
8,Екатеринославское Намѣстничество,Екатеринославское Наместничество,Ekaterinoslavskoe Namiestnichestvo,Ekaterinoslavskoe Namestnichestvo,,,,,1785,1796,POINT,35.018155,48.466601,"Dnepropetrovsk, Dnipropetrovsk Oblast",Ukraine,UA,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
9,Иркутское Намѣстничество,Иркутское Наместничество,Irkutskoe Namiestnichestvo,Irkutskoe Namestnichestvo,,,,,1785,1796,POINT,104.29639,52.29778,"Irkutsk, Irkutsk Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
10,Кавказское Намѣстничество,Кавказское Наместничество,Kavkazskoe Namiestnichestvo,Kavkazskoe Namestnichestvo,,,,,1785,1796,POINT,48.036667,46.323611,"Astrakhan, Astrakhan Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
11,Казанское Намѣстничество,Казанское Наместничество,Kazanskoe Namiestnichestvo,Kazanskoe Namestnichestvo,,,,,1785,1796,POINT,49.114444,55.790833,"Kazan, Tatarstan",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
12,Калужское Намѣстничество,Калужское Наместничество,Kaluzhskoe Namiestnichestvo,Kaluzhskoe Namestnichestvo,,,,,1785,1796,POINT,36.266667,54.533333,"Kaluga, Kaluga Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
13,Кіевское Намѣстничество,Киевское Наместничество,Kіevskoe Namiestnichestvo,Kievskoe Namestnichestvo,,,,,1785,1796,POINT,30.523333,50.45,"Kiev, Kyiv city",Ukraine,UA,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
14,Костромское Намѣстничество,Костромское Наместничество,Kostromskoe Namiestnichestvo,Kostromskoe Namestnichestvo,,,,,1785,1796,POINT,40.933333,57.766667,"Kostroma, Kostroma Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
15,Курское Намѣстничество,Курское Наместничество,Kurskoe Namiestnichestvo,Kurskoe Namestnichestvo,,,,,1785,1796,POINT,36.183333,51.716667,"Kursk, Kursk Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
16,Могилевское Намѣстничество,Могилевское Наместничество,Mogilevskoe Namiestnichestvo,Mogilevskoe Namestnichestvo,,,,,1785,1796,POINT,30.35,53.916667,"Mahilyow, Mogilev Province",Belarus,BY,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
17,Нижегородское Намѣстничество,Нижегородское Наместничество,Nizhegorodskoe Namiestnichestvo,Nizhegorodskoe Namestnichestvo,,,,,1785,1796,POINT,44.00205,56.32867,"Nizhny Novgorod, Nizhny Novgorod Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
18,Новогородское Намѣстничество,Новогородское Наместничество,Novogorodskoe Namiestnichestvo,Novogorodskoe Namestnichestvo,,,,,1785,1796,POINT,31.27104,58.52131,"Veliky Novgorod, Novgorod Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
19,Новогород - Сѣверское Намѣстничество,Новогород - Северское Наместничество,Novogorod - Sieverskoe Namiestnichestvo,Novogorod - Severskoe Namestnichestvo,,,,,1785,1796,POINT,33.266667,51.983333,"Novhorod-Sivers'kyi, Chernihivs'ka oblast",Ukraine,UA,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
20,Олонецкое Намѣстничество,Олонецкое Наместничество,Olonetskoe Namiestnichestvo,Olonetskoe Namestnichestvo,,,,,1785,1796,POINT,34.35,61.783333,"Petrozavodsk, Republic of Karelia",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
21,Орловское Намѣстничество,Орловское Наместничество,Orlovskoe Namiestnichestvo,Orlovskoe Namestnichestvo,,,,,1785,1796,POINT,36.066667,52.966667,"Oryol, Oryol Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
22,Пензенское Намѣстничество,Пензенское Наместничество,Penzenskoe Namiestnichestvo,Penzenskoe Namestnichestvo,,,,,1785,1796,POINT,45,53.2,"Penza, Penza Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
