,hgr_id,result_placename,searched_placename,admin1,country_name,lat,lng,src_id,country_code,url,src,local_result
0,3,Avdulovo,????????,Lipetsk,Russia,53.29975,38.6293,580282,RU,http://api.geonames.org/search?north=55.9254&west=38.154&south=53.0517&name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&east=41.6952&featureClass=P&type=json,geonames,geonames_jsons/????????_3.json
1,3,Avdulovo Pervoye,????????,Moskovskaya,Russia,55.07755,38.27945,580281,RU,http://api.geonames.org/search?north=55.9254&west=38.154&south=53.0517&name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&east=41.6952&featureClass=P&type=json,geonames,geonames_jsons/????????_3.json
2,3,Avdulovo Vtoroye,????????,Moskovskaya,Russia,55.08048,38.26766,873804,RU,http://api.geonames.org/search?north=55.9254&west=38.154&south=53.0517&name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&east=41.6952&featureClass=P&type=json,geonames,geonames_jsons/????????_3.json
3,4,not_found,?????????,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=64.08&west=37.83&south=57.25&name=%D0%90%D0%B2%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F&username=jaguillette&east=57.25&featureClass=P&type=json,geonames,None
4,5,not_found,????????,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=61.766667&west=36.933333&south=53.766667&name=%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B8%D0%B5%D0%B2&username=jaguillette&east=44.933333&featureClass=P&type=json,geonames,None
5,5,not_found,????????,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=61.766667&west=36.933333&south=53.766667&name=%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B8%D0%B5%D0%B2%D0%BE&username=jaguillette&east=44.933333&featureClass=P&type=json,geonames,None
6,6,not_found,?????????,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=60.32867&west=40.00205&south=52.32867&name=%D0%90%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%BE%D0%B2%D0%BE&username=jaguillette&east=48.00205&featureClass=P&type=json,geonames,None
7,7,Aksel,??????,Mordoviya,Russia,54.59831,43.41977,583664,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames,geonames_jsons/??????_7.json
8,7,Aksel,??????,Nizjnij Novgorod,Russia,54.82592,43.84813,6659318,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames,geonames_jsons/??????_7.json
9,7,Aksel’meyevo,??????,Rjazan,Russia,54.05,41.98333,583663,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames,geonames_jsons/??????_7.json
10,7,Aksel’skiye Vyselki,??????,Nizjnij Novgorod,Russia,54.83333,43.83333,583662,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames,geonames_jsons/??????_7.json
11,8,Alatyr',???????,Chuvashia,Russia,54.8421,46.5813,583437,RU,http://api.geonames.org/search?north=58.316667&west=44.366667&south=50.316667&name=%D0%90%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%8C&username=jaguillette&east=52.366667&featureClass=P&type=json,geonames,geonames_jsons/???????_8.json
12,8,Alatyr’kasy,???????,Chuvashia,Russia,56.0395,47.54381,6198182,RU,http://api.geonames.org/search?north=58.316667&west=44.366667&south=50.316667&name=%D0%90%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%8C&username=jaguillette&east=52.366667&featureClass=P&type=json,geonames,geonames_jsons/???????_8.json
13,9,not_found,???????????? ???????,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=61.616667&west=35.85&south=53.616667&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B0+%D0%9F%D1%83%D1%81%D1%82%D1%8B%D0%BD%D1%8F&username=jaguillette&east=43.85&featureClass=P&type=json,geonames,None
14,10,not_found,???????????????,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=54.837&west=41.8373&south=52.3247&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5&username=jaguillette&east=46.7277&featureClass=P&type=json,geonames,None
15,11,Aleksin,???????,Tula,Russia,54.50503,37.0674,582750,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B8%D0%BD&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames,geonames_jsons/???????_11.json
16,12,Alekseyevka,??????????,Voronezj,Russia,51.61006,41.99632,582949,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
17,12,Alekseyevka,??????????,Lipetsk,Russia,52.3795,39.0319,7452204,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
18,12,Alekseyevka,??????????,Belgorod,Russia,50.6309,38.6903,582956,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
19,12,Alekseyevka,??????????,Luhansk,Ukraine,49.01808,39.17942,713554,UA,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
20,12,Alekseyevka,??????????,Kursk,Russia,51.6878,38.0555,582948,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
21,12,Alekseyevka,??????????,Orjol,Russia,52.76435,37.235,582910,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
22,12,Alekseyevka,??????????,Lipetsk,Russia,52.68578,38.24198,582914,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
23,12,Alekseyevka,??????????,Orjol,Russia,52.63586,37.37487,582917,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
24,12,Alekseyevka,??????????,Tambov,Russia,52.56934,41.96794,582920,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
25,12,Alekseyevka,??????????,Tambov,Russia,52.4263,40.8121,582923,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
26,12,Alekseyevka,??????????,Tambov,Russia,52.41183,42.47175,582924,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
27,12,Alekseyevka,??????????,Lipetsk,Russia,52.3839,38.7774,582925,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
28,12,Alekseyevka,??????????,Lipetsk,Russia,52.1621,40.3374,582934,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
29,12,Alekseyevka,??????????,Kursk,Russia,51.7277,37.8605,582944,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
30,12,Alekseyevka,??????????,Voronezj,Russia,51.6776,40.2292,582947,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
31,12,Alekseyevka,??????????,Rostov,Russia,48.59563,40.67866,582958,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
32,12,Alekseyevka,??????????,Voronezj,Russia,51.855,40.10667,808870,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
33,12,Alekseyevka,??????????,Voronezj,Russia,49.59306,40.40028,809055,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
34,12,Alekseyevka,??????????,Kursk,Russia,51.69389,38.13028,807160,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
35,12,Alekseyevka,??????????,Rostov,Russia,48.54444,41.07861,796751,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
36,12,Alekseyevka,??????????,Luhansk,Ukraine,49.42081,38.77409,713552,UA,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
37,12,Alekseyevka,??????????,Lipetsk,Russia,52.755,38.7252,582913,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames,geonames_jsons/??????????_12.json
