,hgr_id,name,alt_name,partof_id,lng,lat,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,local_result,src,ru_prov,prov_modern_sp,prov_stem,admin1_partof,ru_uezd,uezd_modern_sp,uezd_stem,admin2_partof,page,lc_translit
0,3,Авдулово,Ивановское,62.0,38.6293,53.29975,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВДУЛОВО, ИВАНОВСКОЕ тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.",Авдулово,Avdulovo,Авдулово,Lipetsk,Russia,580282,RU,http://api.geonames.org/search?north=55.9254&west=38.154&south=53.0517&name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&east=41.6952&featureClass=P&type=json,geonames_jsons/Авдулово_3.json,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,28.0,Донковскомъ уѣздѣ,Донковском уезде,донковск,62.0,10,Avdulovo
1,3,Авдулово,Ивановское,62.0,38.27945,55.07755,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВДУЛОВО, ИВАНОВСКОЕ тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.",Авдулово,Avdulovo Pervoye,Авдулово,Moskovskaya,Russia,580281,RU,http://api.geonames.org/search?north=55.9254&west=38.154&south=53.0517&name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&east=41.6952&featureClass=P&type=json,geonames_jsons/Авдулово_3.json,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,28.0,Донковскомъ уѣздѣ,Донковском уезде,донковск,62.0,10,Avdulovo
2,3,Авдулово,Ивановское,62.0,38.26766,55.08048,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВДУЛОВО, ИВАНОВСКОЕ тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.",Авдулово,Avdulovo Vtoroye,Авдулово,Moskovskaya,Russia,873804,RU,http://api.geonames.org/search?north=55.9254&west=38.154&south=53.0517&name=%D0%90%D0%B2%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%BE&username=jaguillette&east=41.6952&featureClass=P&type=json,geonames_jsons/Авдулово_3.json,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,28.0,Донковскомъ уѣздѣ,Донковском уезде,донковск,62.0,10,Avdulovo
3,4,Авженская,,55.0,not_found,not_found,волость,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВЖЕНСКАЯ , волость Вологодскаго Намѣстничества и уѣзду. Здѣсь бываетъ два раза въ годъ ярмарка , на коей торгуютъ Вологодскіе купцы мѣлочными товарами.",Авженская,not_found,Авженская,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=64.08&west=37.83&south=57.25&name=%D0%90%D0%B2%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F&username=jaguillette&east=57.25&featureClass=P&type=json,None,geonames,Вологодскаго Намѣстничества,Вологодского Наместничества,вологодск,4.0,Вологодскаго уѣздѣ,Вологодского уезде,вологодск,55.0,10,Avzhenskaia
4,5,Авраміевъ,,14.0,not_found,not_found,монастырь,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВРАМІЕВЪ, монастырь Костромскаго Намѣстничества, отъ города Чухломы въ 10 верстахъ. Здѣсь бываетъ ярмарка. Зри Чуxлома городъ.",Аврамиев,not_found,Аврамиев,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=61.766667&west=36.933333&south=53.766667&name=%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B8%D0%B5%D0%B2&username=jaguillette&east=44.933333&featureClass=P&type=json,None,geonames,Костромскаго Намѣстничества,Костромского Наместничества,кострома,14.0,not_in_text,not_иn_text,нот_ин_теxт,,10,"Avramіev"""
5,5,Авраміевъ,,14.0,not_found,not_found,монастырь,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВРАМІЕВЪ, монастырь Костромскаго Намѣстничества, отъ города Чухломы въ 10 верстахъ. Здѣсь бываетъ ярмарка. Зри Чуxлома городъ.",Аврамиев,not_found,Аврамиев,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=61.766667&west=36.933333&south=53.766667&name=%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B8%D0%B5%D0%B2%D0%BE&username=jaguillette&east=44.933333&featureClass=P&type=json,None,geonames,Костромскаго Намѣстничества,Костромского Наместничества,кострома,14.0,not_in_text,not_иn_text,нот_ин_теxт,,10,"Avramіev"""
6,6,Адоватово,,42.0,not_found,not_found,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АДОВАТОВО, село Нижегородскаго Намѣстничества въ Арзамаскомъ уѣздѣ ; въ ономъ бываетъ одна въ году ярмарка.",Адоватово,not_found,Адоватово,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=60.32867&west=40.00205&south=52.32867&name=%D0%90%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%BE%D0%B2%D0%BE&username=jaguillette&east=48.00205&featureClass=P&type=json,None,geonames,Нижегородскаго Намѣстничества,Нижегородского Наместничества,нижегородск,17.0,Арзамаскомъ уѣздѣ,Арзамаском уезде,арзамаск,42.0,10,Adovatovo
7,7,Аксель,,126.0,43.41977,54.59831,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel,Аксель,Mordoviya,Russia,583664,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames_jsons/Аксель_7.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,32.0,Темниковскомъ уѣздѣ,Темниковском уезде,темниковск,126.0,10,Aksel'
8,7,Аксель,,126.0,43.84813,54.82592,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel,Аксель,Nizjnij Novgorod,Russia,6659318,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames_jsons/Аксель_7.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,32.0,Темниковскомъ уѣздѣ,Темниковском уезде,темниковск,126.0,10,Aksel'
9,7,Аксель,,126.0,41.98333,54.05,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel’meyevo,Аксель,Rjazan,Russia,583663,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames_jsons/Аксель_7.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,32.0,Темниковскомъ уѣздѣ,Темниковском уезде,темниковск,126.0,10,Aksel'
