,ru_old_orth,alt_name_old_orth,ru_old_featuretype,ru_prov,ru_uezd,description,page,SOURCE,html_text,ru_new_orth,alt_name_new_orth,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,admin1_partofID,admin2_partofID,partof_id,txt_id
3,Авдулово,Ивановское,село,Рязанскаго Намѣстничества,Донковскомъ уѣздѣ,"АВДУЛОВО, ИВАНОВСКОЕ тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.",10,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВДУЛОВО, ИВАНОВСКОЕ тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.</span>",Авдулово,Ивановское,Рязанского Наместничества,Донковском уезде,рязанск,донковск,рязанск|донковск,28,101.0,101.0,3
4,Авженская,,волость,Вологодскаго Намѣстничества,Вологодскаго уѣздѣ,"АВЖЕНСКАЯ , волость Вологодскаго Намѣстничества и уѣзду. Здѣсь бываетъ два раза въ годъ ярмарка , на коей торгуютъ Вологодскіе купцы мѣлочными товарами.",10,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВЖЕНСКАЯ , </span><span class=""font0"" style=""font-style:italic;"">волость </span><span class=""font0"">Вологодскаго Намѣстничества и уѣзду. Здѣсь бываетъ два раза въ годъ ярмарка , на коей торгуютъ Вологодскіе купцы мѣлочными товарами.</span>",Авженская,,Вологодского Наместничества,Вологодского уезде,вологодск,вологодск,вологодск|вологодск,4,45.0,45.0,4
5,Авраміевъ,,монастырь,Костромскаго Намѣстничества,,"АВРАМІЕВЪ, монастырь Костромскаго Намѣстничества, отъ города Чухломы въ 10 верстахъ. Здѣсь бываетъ ярмарка. Зри Чуxлома городъ.",10,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВРАМІЕВЪ</span><span class=""font0"" style=""font-style:italic;"">, монастырь </span><span class=""font0"">Костромскаго Намѣстничества, отъ города Чухломы въ 10 верстахъ. Здѣсь бываетъ ярмарка. Зри </span><span class=""font0"" style=""font-style:italic;"">Чуxлома</span><span class=""font0""> городъ.</span>",Аврамиев,,Костромского Наместничества,,кострома,not_in_text,кострома|not_in_text,14,,14,5
6,Адоватово,,село,Нижегородскаго Намѣстничества,Арзамаскомъ уѣздѣ,"АДОВАТОВО, село Нижегородскаго Намѣстничества въ Арзамаскомъ уѣздѣ ; въ ономъ бываетъ одна въ году ярмарка.",10,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АДОВАТОВО, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Нижегородскаго Намѣстничества въ Арзамаскомъ уѣздѣ ; въ ономъ бываетъ одна въ году ярмарка.</span>",Адоватово,,Нижегородского Наместничества,Арзамаском уезде,нижегородск,арзамаск,нижегородск|арзамаск,17,83.0,83.0,6
7,Аксель,,село,Тамбовскаго Намѣстничества,Темниковскомъ уѣздѣ,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",10,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.</span>",Аксель,,Тамбовского Наместничества,Темниковском уезде,тамбовск,темниковск,тамбовск|темниковск,32,151.0,151.0,7
8,Алатырь,,городъ,Синбирскаго Намѣстничества,not_in_text,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",10,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АЛАТЫРЬ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.</span>",Алатырь,,Синбирского Наместничества,not_иn_text,синбирск,алатырьск,синбирск|алатырьск,30,81.0,81.0,8
9,Александрова Пустыня,,село,Ярославскаго Намѣстничества,Ярославскаго уѣздѣ,"АЛЕКСАНДРОВА ПУСТЫНЯ, село Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка въ Іюнѣ мѣсяцѣ ; съѣзжаются купцы съ разными товарами изъ ближнихъ городовъ, а именно: Ярославля, Ростова, Романова, Углича, Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.",11,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСАНДРОВА ПУСТЫНЯ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка въ Іюнѣ мѣсяцѣ ; съѣзжаются купцы съ разными товарами изъ ближнихъ городовъ, а именно: Ярославля, Ростова, Романова, Углича, Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.</span>",Александрова Пустыня,,Ярославского Наместничества,Ярославского уезде,ярославск,ярославск,ярославск|ярославск,39,80.0,80.0,9
10,Александровское,Черкаское,село,Пензенскаго Намѣстничества,Керенскомъ уѣздѣ,"АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, село Пензенскаго Намѣстничества въ Керенскомъ уѣздѣ. Здѣсь бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными мѣлочными товарами ; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.",11,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества въ Керенскомъ уѣздѣ. Здѣсь бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными мѣлочными товарами ; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.</span>",Александровское,Черкаское,Пензенского Наместничества,Керенском уезде,пензенск,керенск,пензенск|керенск,22,111.0,111.0,10
11,Алексѣевская,,крѣпость,Екатеринославскаго Намѣстничества,,"АЛЕКСѢЕВСКАЯ, крѣпость Екатеринославскаго Намѣстничества по Днѣпровской линіи ; въ оной бываютъ въ году три ярмарки.",11,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВСКАЯ, </span><span class=""font0"" style=""font-style:italic;"">крѣпость </span><span class=""font0"">Екатеринославскаго Намѣстничества по Днѣпровской линіи ; въ оной бываютъ въ году три ярмарки.</span>",Алексеевская,,Екатеринославского Наместничества,,екатеринославск,not_in_text,екатеринославск|not_in_text,8,,8,11
12,Алешня,,слобода,Курскаго Намѣстничества,Бѣлогородскомъ уѣздѣ,"АЛЕШНЯ, слобода Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.",11,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕШНЯ, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.</span>",Алешня,,Курского Наместничества,Белогородском уезде,курск,белогородск,курск|белогородск,15,89.0,89.0,12
