,lat_x,hgr_id,name,alt_name,partof_id,lng,lat_y,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,local_result,src,ru_prov,prov_modern_sp,prov_stem,admin1_partof,ru_uezd,uezd_modern_sp,uezd_stem,admin2_partof,page,lc_translit
15,1,11,Алексинъ,,35.0,37.0674,54.50503,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСИНЪ, городъ Тульскаго Намѣстничества. Здѣсь бываютъ двѣ въ году ярмарки: первая Іюля 1, вторая Августа 29 дня. На оныя пріѣзжаютъ съ разными москотильными товарами.",Алексин,Aleksin,Алексин,Tula,Russia,582750,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B8%D0%BD&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Алексин_11.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,not_in_text,not_иn_text,нот_ин_теxт,,11,"Aleksin"""
62,1,15,Анаево,,32.0,42.5668,54.2354,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АНАЕВО, село Тамбовскаго Намѣстничества около посада Кадома; здѣсь одна бываетъ ярмарка въ году, на которую пріѣзжаютъ купцы изъ ближнихъ городовъсъ шелковыми , бумажными и другими мѣдочными товарами.",Анаево,Anayevo,Анаево,Mordoviya,Russia,582140,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BD%D0%B0%D0%B5%D0%B2%D0%BE&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames_jsons/Анаево_15.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,32.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Anaevo
90,1,22,Архангельскъ,,2.0,40.5433,64.5401,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРХАНГЕЛЬСКЪ, главный городъ Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля ме-жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи , кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",Архангельск,Arkhangelsk,Архангельск,Arkhangelskaya,Russia,581049,RU,http://api.geonames.org/search?north=70.1894276115&west=27.4506621361&south=60.3600075373&name=%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA&username=jaguillette&east=58.6121673584&featureClass=P&type=json,geonames_jsons/Архангельск_22.json,geonames,Архангельскъ Намѣстничества,Архангельск Наместничества,архангельск,2.0,not_in_text,not_иn_text,нот_ин_теxт,,12,"Arkhangel'sk"""
94,1,25,Астрахань,,10.0,48.04076,46.34968,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АСТРАХАНЬ , городъ Кавказскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка каждолѣтно; Россійскіе купцы, Армяне и Татары торгуютъ съ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.",Астрахань,Astrakhan,Астрахань,Astrakhan,Russia,580497,RU,http://api.geonames.org/search?north=52.05&west=41.38&south=43.76&name=%D0%90%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0%D0%BD%D1%8C&username=jaguillette&east=55.07&featureClass=P&type=json,geonames_jsons/Астрахань_25.json,geonames,Кавказскаго Намѣстничества,Кавказского Наместничества,кавказск,10.0,not_in_text,not_иn_text,нот_ин_теxт,,14,Astrakhan'
95,1,26,Атемаръ,,117.0,45.40909,54.18097,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТЕМАРЪ, село Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.",Атемар,Atemar,Атемар,Mordoviya,Russia,580432,RU,http://api.geonames.org/search?north=54.837&west=41.8373&south=52.3247&name=%D0%90%D1%82%D0%B5%D0%BC%D0%B0%D1%80&username=jaguillette&east=46.7277&featureClass=P&type=json,geonames_jsons/Атемар_26.json,geonames,Пензенскаго Намѣстничества,Пензенского Наместничества,пензенск,22.0,Саранскомъ уѣздѣ,Саранском уезде,саранск,117.0,14,"Atemar"""
96,1,27,Аткарскъ,,29.0,45.00775,51.87185,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТКАРСКЪ, городъ Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ Терсѣ и Болондѣ торж-к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",Аткарск,Atkarsk,Аткарск,Saratov,Russia,580420,RU,http://api.geonames.org/search?north=53.18&west=40.3&south=48.45&name=%D0%90%D1%82%D0%BA%D0%B0%D1%80%D1%81%D0%BA&username=jaguillette&east=51.36&featureClass=P&type=json,geonames_jsons/Аткарск_27.json,geonames,Саратовскаго Намѣстничества,Саратовского Наместничества,саратовск,29.0,not_in_text,not_иn_text,нот_ин_теxт,,14,"Atkarsk"""
97,1,28,Ахтырка,,37.0,34.89879,50.31036,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"АХТЫРКА , городъ Харьковскаго Намѣстничества; въ немъ бываетъ четыре ярмарки: первая о всеѣдной недѣлѣ, вторая Маія 9, третія Іюля четвертая Октября 28 дня; купцы пріѣзжаютъ изъ раз ныхъ городовъ, привозятъ парчи , шелковыя матеріи и серебро въ дѣлѣ; торгуютъ также скотомъ , лошадьми и прочимъ.",Ахтырка,Okhtyrka,Ахтырка,Sumy,Ukraine,713749,UA,http://api.geonames.org/search?north=51.5689&west=33.5563&south=48.4869&name=%D0%90%D1%85%D1%82%D1%8B%D1%80%D0%BA%D0%B0&username=jaguillette&east=38.2875&featureClass=P&type=json,geonames_jsons/Ахтырка_28.json,geonames,Харьковскаго Намѣстничества,Харьковского Наместничества,харьковск,37.0,not_in_text,not_иn_text,нот_ин_теxт,,15,Akhtyrka
111,1,32,Барышевка,,105.0,31.32173,50.36098,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАРЫШЕВКА, мѣстечко Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Въ ономъ бываютъ въ году три ярмарки: первая Генваря 1, вторая Маія 9, третія Сентября 11 чиселъ, на которыхъ купцы торгуютъ разными мѣлочными товарами и привозимою изъ Донскихъ станицъ мѣлкою рыбою; а жители продаютъ рогатой скотъ, лошадей, хлѣбъ, смолу , горячее вино и Крымскую соль.",Барышевка,Baryshivka,Барышевка,Kiev,Ukraine,712787,UA,http://api.geonames.org/search?north=51.49413&west=29.72503&south=49.08008&name=%D0%91%D0%B0%D1%80%D1%8B%D1%88%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=34.35625&featureClass=P&type=json,geonames_jsons/Барышевка_32.json,geonames,Кіевскаго Намѣстничества,Киевского Наместничества,киевск,13.0,Переяславскомъ уѣздѣ,Переяславском уезде,переяславск,105.0,15,Baryshevka
118,1,35,Батуринъ,,102.0,32.87794,51.34567,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=15,"БАТУРИНЪ, мѣстечко Новогородскаго - Сѣверскаго Намѣстничества въ Нѣжинскомъ уѣздѣ. Здѣсь бываетъ въ году четыре ярмарки.",Батурин,Baturyn,Батурин,Chernihiv,Ukraine,712745,UA,http://api.geonames.org/search?north=55.983333&west=29.266666999999998&south=47.983333&name=%D0%91%D0%B0%D1%82%D1%83%D1%80%D0%B8%D0%BD&username=jaguillette&east=37.266667&featureClass=P&type=json,geonames_jsons/Батурин_35.json,geonames,Новогородскаго - Сѣверскаго Намѣстничества,Новогородского - Северского Наместничества,новогородского - северск,19.0,Нѣжинскомъ уѣздѣ,Нежинском уезде,нежинск,102.0,16,"Baturin"""
123,1,39,Березники,,118.0,46.6978,51.74309,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=15,"БЕРЕЗНИКИ, село въ Саратовскомъ Намѣстничествѣ и уѣздѣ. Здесь бываетъ ярмарка въ послѣднихъ числахъ Іюля; привозятъ на оную купцы разные мѣлочные шелковые товары.",Березники,Bereznyaki,Березники,Saratov,Russia,577181,RU,http://api.geonames.org/search?north=53.18&west=40.3&south=48.45&name=%D0%91%D0%B5%D1%80%D0%B5%D0%B7%D0%BD%D0%B8%D0%BA%D0%B8&username=jaguillette&east=51.36&featureClass=P&type=json,geonames_jsons/Березники_39.json,geonames,Саратовскомъ Намѣстничества,Саратовском Наместничества,саратовск,29.0,Саратовскомъ уѣздѣ,Саратовском уезде,саратовск,118.0,16,Berezniki
