,hgr_id,name,alt_name,partof_id,lng,lat,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,local_result,src,ru_prov,prov_modern_sp,prov_stem,ru_uezd,uezd_modern_sp,uezd_stem,page,lc_translit
6,7,Аксель,,126.0,43.41977,54.59831,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel,Аксель,Mordoviya,Russia,583664,RU,http://api.geonames.org/search?type=json&south=48.716667&west=37.433333&east=45.433333&north=56.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&featureClass=P,geonames_jsons/Аксель_7.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,Темниковскомъ уѣздѣ,Темниковском уезде,темниковск,10,Aksel'
7,7,Аксель,,126.0,43.84813,54.82592,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel,Аксель,Nizjnij Novgorod,Russia,6659318,RU,http://api.geonames.org/search?type=json&south=48.716667&west=37.433333&east=45.433333&north=56.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&featureClass=P,geonames_jsons/Аксель_7.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,Темниковскомъ уѣздѣ,Темниковском уезде,темниковск,10,Aksel'
8,7,Аксель,,126.0,41.98333,54.05,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel’meyevo,Аксель,Rjazan,Russia,583663,RU,http://api.geonames.org/search?type=json&south=48.716667&west=37.433333&east=45.433333&north=56.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&featureClass=P,geonames_jsons/Аксель_7.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,Темниковскомъ уѣздѣ,Темниковском уезде,темниковск,10,Aksel'
9,7,Аксель,,126.0,43.83333,54.83333,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel’skiye Vyselki,Аксель,Nizjnij Novgorod,Russia,583662,RU,http://api.geonames.org/search?type=json&south=48.716667&west=37.433333&east=45.433333&north=56.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&featureClass=P,geonames_jsons/Аксель_7.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,Темниковскомъ уѣздѣ,Темниковском уезде,темниковск,10,Aksel'
10,8,Алатырь,,30.0,46.5813,54.8421,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",Алатырь,Alatyr',Алатырь,Chuvashia,Russia,583437,RU,http://api.geonames.org/search?type=json&south=50.316667&west=44.366667&east=52.366667&north=58.316667&name=%D0%90%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%8C&username=jaguillette&featureClass=P,geonames_jsons/Алатырь_8.json,geonames,Синбирскаго Намѣстничества,Синбирского Наместничества,синбирск,not_in_text,not_иn_text,нот_ин_теxт,10,Alatyr'
11,8,Алатырь,,30.0,47.54381,56.0395,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",Алатырь,Alatyr’kasy,Алатырь,Chuvashia,Russia,6198182,RU,http://api.geonames.org/search?type=json&south=50.316667&west=44.366667&east=52.366667&north=58.316667&name=%D0%90%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%8C&username=jaguillette&featureClass=P,geonames_jsons/Алатырь_8.json,geonames,Синбирскаго Намѣстничества,Синбирского Наместничества,синбирск,not_in_text,not_иn_text,нот_ин_теxт,10,Alatyr'
55,14,Алешня,,48.0,35.31222,54.97167,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕШНЯ, слобода Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.",Алешня,Алешня,Алешня,Kaluga,Russia,815668,RU,http://api.geonames.org/search?type=json&south=47.716667&west=32.183333&east=40.183333&north=55.716667&name=%D0%90%D0%BB%D0%B5%D1%88%D0%BD%D1%8F&username=jaguillette&featureClass=P,geonames_jsons/Алешня_14.json,geonames,Курскаго Намѣстничества,Курского Наместничества,курск,Бѣлогородскомъ уѣздѣ,Белогородском уезде,белогородск,11,Aleshnia
56,14,Алешня,,48.0,36.49798,53.01377,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕШНЯ, слобода Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.",Алешня,Oleshnya,Алешня,Orjol,Russia,515638,RU,http://api.geonames.org/search?type=json&south=47.716667&west=32.183333&east=40.183333&north=55.716667&name=%D0%90%D0%BB%D0%B5%D1%88%D0%BD%D1%8F&username=jaguillette&featureClass=P,geonames_jsons/Алешня_14.json,geonames,Курскаго Намѣстничества,Курского Наместничества,курск,Бѣлогородскомъ уѣздѣ,Белогородском уезде,белогородск,11,Aleshnia
57,14,Алешня,,48.0,39.33333,54.7,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕШНЯ, слобода Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.",Алешня,Aleshnya,Алешня,Rjazan,Russia,582628,RU,http://api.geonames.org/search?type=json&south=47.716667&west=32.183333&east=40.183333&north=55.716667&name=%D0%90%D0%BB%D0%B5%D1%88%D0%BD%D1%8F&username=jaguillette&featureClass=P,geonames_jsons/Алешня_14.json,geonames,Курскаго Намѣстничества,Курского Наместничества,курск,Бѣлогородскомъ уѣздѣ,Белогородском уезде,белогородск,11,Aleshnia
58,14,Алешня,,48.0,37.26148,54.24563,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕШНЯ, слобода Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.",Алешня,Alëshnya,Алешня,Tula,Russia,582629,RU,http://api.geonames.org/search?type=json&south=47.716667&west=32.183333&east=40.183333&north=55.716667&name=%D0%90%D0%BB%D0%B5%D1%88%D0%BD%D1%8F&username=jaguillette&featureClass=P,geonames_jsons/Алешня_14.json,geonames,Курскаго Намѣстничества,Курского Наместничества,курск,Бѣлогородскомъ уѣздѣ,Белогородском уезде,белогородск,11,Aleshnia
