uniq_id,ru_old_orth,partof_id,x_coord,y_coord,lc_trans,ru_new_orth,ru_uezd,ru_prov,beg_yr,end_yr,lc_featuretype,ru_featuretype,id_featuretype,en_featuretype,SOURCE,description,xy_type,Unnamed: 18,Unnamed: 19,pres_loc,pres_country,country_code,notes,partof_name
1,Московской,,37.617778,55.751667000000005,Moskovskoi,Московской,,,17--,17--,,Губерніи,,,,,POINT,,,"Moscow, Moscow",Russia,RU,,
2,Архангельскъ,,40.533333,64.533333,"Arkhangel'sk""",Архангельск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Arkhangelsk, Arkhangelsk Oblast",Russia,RU,,
3,Владимерск,,40.416667,56.13333299999999,Vladimersk,Владимерск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Vladimir, Vladimir Oblast",Russia,RU,,
4,Вологодск,,39.883333,59.2,Vologodsk,Вологодск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Vologda, Vologda Oblast",Russia,RU,,
5,Воронежск,,39.210556,51.671667,Voronezhsk,Воронежск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Voronezh, Voronezh Oblast",Russia,RU,,
6,Выборгъ,,28.744166999999997,60.709167,"Vyborg""",Выборг,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Vyborg, Leningrad Oblast",Russia,RU,,
7,Вятскаго,,49.65,58.6,Viatskago,Вятского,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Kirov, Kirov Oblast",Russia,RU,,
8,Екатеринославск,,35.018155,48.466601000000004,Ekaterinoslavsk,Екатеринославск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Dnepropetrovsk, Dnipropetrovsk Oblast",Ukraine,UA,,
9,Иркутскъ,,104.3,52.283333,"Irkutsk""",Иркутск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Irkutsk, Irkutsk Oblast",Russia,RU,,
10,Кавказск,,48.036667,46.323611,Kavkazsk,Кавказск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Astrakhan, Astrakhan Oblast",Russia,RU,,
11,Казанск,,49.114444,55.790833,Kazansk,Казанск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Kazan, Tatarstan",Russia,RU,,
12,Калужск,,36.266667,54.533333,Kaluzhsk,Калужск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Kaluga, Kaluga Oblast",Russia,RU,,
13,Кіевск,,30.523333,50.45,Kіevsk,Киевск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Kiev, Kyiv city",Ukraine,UA,,
14,Кострома,,40.933333000000005,57.766667000000005,Kostroma,Кострома,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Kostroma, Kostroma Oblast",Russia,RU,,
15,Курскаго,,36.183333000000005,51.716667,Kurskago,Курск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Kursk, Kursk Oblast",Russia,RU,,
16,Могилевск,,30.35,53.916667000000004,Mogilevsk,Могилевск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Mahilyow, Mogilev Province",Belarus,BY,,
17,Нижегородск,,44.00205,56.328669999999995,Nizhegorodsk,Нижегородск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Nizhny Novgorod, Nizhny Novgorod Oblast",Russia,RU,,
18,Новогородск,,31.283333000000002,58.55,Novogorodsk,Новогородск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Veliky Novgorod, Novgorod Oblast",Russia,RU,,
19,Новогород - Сѣверск,,33.266667,51.983333,Novogorod - Seversk,Новогородск - Северск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Novhorod-Sivers'kyi, Chernihivs'ka oblast",Ukraine,UA,,
20,Олонецк,,34.35,61.783333,Olonetsk,Олонецк,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Petrozavodsk, Republic of Karelia",Russia,RU,,
21,Орловск,,36.066666999999995,52.966667,Orlovsk,Орловск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Oryol, Oryol Oblast",Russia,RU,,
22,Пензенск,,45.0,53.2,Penzensk,Пензенск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Penza, Penza Oblast",Russia,RU,,
23,Пермск,,56.248889,58.013889,Permsk,Пермск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Perm, Perm Krai",Russia,RU,,
24,Полотск,,28.8,55.483332999999995,Polotsk,Полотск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Polatsk, Vitebsk Province",Belarus,BY,,
25,Псковск,,28.333333000000003,57.816667,Pskovsk,Псковск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Pskov, Pskov Oblast",Russia,RU,,
26,Ревельск,,24.745278,59.437222,Revel'sk,Ревельск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Tallinn, Harju County",Estonia,EE,,
27,Рижск,,24.106944,56.9475,Rizhsk,Рижск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Riga, Rīgas pilsēta",Latvia,LV,,
28,Рязанск,,39.716667,54.61666700000001,Riazansk,Рязанск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Ryazan, Ryazan Oblast",Russia,RU,,
29,Саратовск,,46.0,51.533333,Saratovsk,Саратовск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Saratov, Saratov Oblast",Russia,RU,,
30,Синбирск,,48.366667,54.316667,Sinbirsk,Синбирск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Ulyanovsk, Ulyanovsk Oblast",Russia,RU,,
31,Смоленск,,32.045278,54.782778,Smolensk,Смоленск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Smolensk, Smolensk Oblast",Russia,RU,,
32,Тамбовск,,41.433333000000005,52.716667,Tambovsk,Тамбовск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Tambov, Tambov Oblast",Russia,RU,,
