"uniq_id","ru_old_orth","alt_name","partof_id","x_coord","y_coord","ru_featuretype","SOURCE","description"
"1","Московская","","","37.617778","55.751667","Губернія","",""
"2","Архангельское","","","40.533333","64.533333","Намѣстничество","",""
"3","Владимерское","","","40.416667","56.133333","Намѣстничество","",""
"4","Вологодское","","","39.883333","59.2","Намѣстничество","",""
"5","Воронежское","","","39.210556","51.671667","Намѣстничество","",""
"6","Выборгское","","","28.744167","60.709167","Намѣстничество","",""
"7","Вятское","","","49.65","58.6","Намѣстничество","",""
"8","Екатеринославское","","","35.018155","48.466601","Намѣстничество","",""
"9","Иркутское","","","104.3","52.283333","Намѣстничество","",""
"10","Кавказское","","","48.036667","46.323611","Намѣстничество","",""
"11","Казанское","","","49.114444","55.790833","Намѣстничество","",""
"12","Калужское","","","36.266667","54.533333","Намѣстничество","",""
"13","Кіевское","","","30.523333","50.45","Намѣстничество","",""
"14","Костромское","","","40.933333","57.766667","Намѣстничество","",""
"15","Курское","","","36.183333","51.716667","Намѣстничество","",""
"16","Могилевское","","","30.35","53.916667","Намѣстничество","",""
"17","Нижегородское","","","44.00205","56.32867","Намѣстничество","",""
"18","Новогородское","","","31.283333","58.55","Намѣстничество","",""
"19","Новогород - Сѣверское","","","33.266667","51.983333","Намѣстничество","",""
"20","Олонецкое","","","34.35","61.783333","Намѣстничество","",""
"21","Орловское","","","36.066667","52.966667","Намѣстничество","",""
"22","Пензенское","","","45","53.2","Намѣстничество","",""
"23","Пермское","","","56.248889","58.013889","Намѣстничество","",""
"24","Полотское","","","28.8","55.483333","Намѣстничество","",""
"25","Псковское","","","28.333333","57.816667","Намѣстничество","",""
"26","Ревельское","","","24.745278","59.437222","Намѣстничество","",""
"27","Рижское","","","24.106944","56.9475","Намѣстничество","",""
"28","Рязанское","","","39.716667","54.616667","Намѣстничество","",""
"29","Саратовское","","","46","51.533333","Намѣстничество","",""
"30","Синбирское","","","48.366667","54.316667","Намѣстничество","",""
"31","Смоленское","","","32.045278","54.782778","Намѣстничество","",""
"32","Тамбовское","","","41.433333","52.716667","Намѣстничество","",""
"33","Тверское","","","35.921928","56.857828","Намѣстничество","",""
"34","Тобольское","","","68.258056","58.195278","Намѣстничество","",""
"35","Тульское","","","37.616667","54.2","Намѣстничество","",""
"36","Уфимское","","","55.966667","54.733333","Намѣстничество","",""
"37","Харьковское","","","36.229167","50","Намѣстничество","",""
"38","Черниговское","","","31.3","51.5","Намѣстничество","",""
"39","Ярославское","","","39.85","57.616667","Намѣстничество","",""
"40","Алатырьский","","30","46.5813","54.8421","уезд","",""
"41","Алексина","","35","37.0674","54.50503","уезд","",""
"42","Арзамаский","","17","43.83992","55.39485","уезд","",""
"43","Ахтырский","","37","34.89879","50.31036","уезд","",""
"44","Бабиновецкий","","16","30.5725","54.8351","уезд","",""
"45","Бѣжецкий","","33","36.69651","57.78506","уезд","",""
"46","Бѣлевский","","35","36.13194","53.81194","уезд","",""
"47","Бѣлицкий","","16","30.4122","52.9395","уезд","",""
"48","Бѣлогородский","","15","38.51663","54.37445","уезд","",""
"49","Бѣлозерский","","18","37.8084","60.0288","уезд","",""
"50","Валуеский","","5","38.1067","50.2035","уезд","",""
"51","Великолуцкий","","25","30.54517","56.34","уезд","",""
"52","Веневский","","35","38.26843","54.35533","уезд","",""
"53","Верейский","","1","36.17194","55.34472","уезд","",""
"54","Верхнеудивский","","9","107.6","51.833333","уезд","",""
"55","Вологодский","","4","39.88398","59.2239","уезд","",""
"56","Волоколамский","","1","35.96944","56.03361","уезд","",""
"57","Выборгский","","6","28.75283","60.70763","уезд","",""
"58","Гадяцкий","","38","33.99099","50.37112","уезд","",""
"59","Гороховецкий","","3","42.69351","56.20152","уезд","",""
"60","Динабургский","","24","26.53333","55.88333","уезд","",""
"61","Дмитровский","","1","37.52041","56.34485","уезд","",""
"62","Донковский","","28","39.15553","53.25155","уезд","",""
"63","Екатеринославский","","8","34.98333","48.45","уезд","",""
"64","Елецкий","","21","38.50169","52.62366","уезд","",""
"65","Епифанский","","35","38.55181","53.82526","уезд","",""
"66","Зарайский","","28","38.87841","54.7605","уезд","",""
"67","Звенигородский","","1","36.85918","55.73402","уезд","",""
"68","Зубцовский","","33","34.58935","56.17534","уезд","",""
"69","Изюмский","","37","37.24848","49.20875","уезд","",""
"71","Касимовский","","28","41.39528","54.94111","уезд","",""
"72","Кашинский","","33","37.60806","57.35917","уезд","",""
"73","Каширский","","35","38.16694","54.84444","уезд","",""
"74","Керенский","","22","43.05744","53.69157","уезд","",""
"75","Кинешемский","","14","42.12894","57.43914","уезд","",""
"76","Киренский","","9","108.11194","57.78528","уезд","",""
"77","Кіевский","","13","30.5238","50.45466","уезд","",""
"78","Климовицкий","","16","31.9586","53.6079","уезд","",""
"79","Козельский","","12","35.77159","54.03746","уезд","",""
"80","Козловский","","32","40.4907","52.8978","уезд","",""
"81","Коломенский","","1","38.77833","55.07944","уезд","",""
"82","Короченский","","15","37.18598","50.8132","уезд","",""
"83","Костромский","","14","40.92686","57.76647","уезд","",""
"84","Краснослободский","","22","43.78963","54.4253","уезд","",""
"85","Курский","","15","36.18735","51.73733","уезд","",""
"86","Лебедянский","","32","39.16639","53.01942","уезд","",""
"87","Ливенский","","21","37.60689","52.42534","уезд","",""
"88","Лубенский","","13","32.99694","50.01625","уезд","",""
"89","Любимский","","39","40.68433","58.3625","уезд","",""
"90","Мезенский","","2","44.2542","65.8401","уезд","",""
"91","Миргородский","","13","33.60886","49.96854","уезд","",""
"92","Миропольский","","37","35.26233","51.023","уезд","",""
"93","Можайский","","1","36.02722","55.50194","уезд","",""
"94","Мстиславский","","16","31.7217","54.0185","уезд","",""
"95","Наровчатовский","","22","43.69458","53.87654","уезд","",""
"96","Нижеломовский","","22","43.67663","53.53041","уезд","",""
"97","Новгородский","","","31.27104","58.52131","уезд","",""
"98","Новогородский","","18","31.27104","58.52131","уезд","",""
"99","Новогород - Сѣверский","","19","33.266667","51.983333","уезд","",""
"100","Новосильский","","35","37.04048","52.97387","уезд","",""
"101","Нѣжинский","","38","31.88688","51.04801","уезд","",""
"102","Нѣжинский","","19","31.88688","51.04801","уезд","",""
"103","Оршанский","","16","30.4172","54.5081","уезд","",""
"104","Островский","","25","28.35368","57.34395","уезд","",""
"105","Переяславский","","13","31.4795","50.08768","уезд","",""
"106","Петровский","","39","39.26928","57.01039","уезд","",""
"107","Пирятинский","","38","32.50621","50.24242","уезд","",""
"108","Полотавский","","8","34.54073","49.59373","уезд","",""
"109","Полотский","","24","28.7856","55.4879","уезд","",""
"110","Пошехонский","","39","39.13531","58.49928","уезд","",""
"111","Прилуцкий","","38","32.38761","50.59323","уезд","",""
"112","Псковский","","25","28.3496","57.8136","уезд","",""
"113","Рогачевский","","16","30.0495","53.0934","уезд","",""
"114","Ростовский","","39","39.41394","57.1914","уезд","",""
"115","Рузский","","1","36.19522","55.69898","уезд","",""
"116","Рязанский","","28","44.7329","53.1783","уезд","",""
"117","Саранский","","22","45.1749","54.1838","уезд","",""
"118","Саратовский","","29","46.00861","51.54056","уезд","",""
"119","Свіажский","","11","48.66051","55.77329","уезд","",""
"120","Синбирский","","30","48.38657","54.32824","уезд","",""
"121","Сосницкий","","19","32.49985","51.52387","уезд","",""
"122","Старобыховский","","16","30.2454","53.521","уезд","",""
"123","Стародубовский","","19","33.67942","52.2405","уезд","",""
"124","Суздальский","","3","40.44668","56.42274","уезд","",""
"125","Тверский","","33","35.90057","56.85836","уезд","",""
"126","Темниковский","","32","43.21483","54.63023","уезд","",""
"127","Тульский","","35","37.616667","54.2","уезд","",""
"128","Харьковский","","37","36.25272","49.98081","уезд","",""
"129","Челябинский","","36","61.42915","55.15402","уезд","",""
"130","Чериковский","","16","31.3831","53.5689","уезд","",""
"131","Черниговский","","38","31.28488","51.50551","уезд","",""
"132","Чухломский","","14","42.68318","58.75375","уезд","",""
"133","Шатский","","32","41.71191","54.02576","уезд","",""
"134","Юрьевцкий","","14","43.1041","57.32007","уезд","",""
"135","Яренский","","4","49.09162","62.16755","уезд","",""
"136","Ярославский","","39","39.87368","57.62987","уезд","",""
