,name,transliterated
0,Московской,Moskovskoi
1,Архангельскъ,"Arkhangel'sk"""
2,Владимерск,Vladimersk
3,Вологодск,Vologodsk
4,Воронежск,Voronezhsk
5,Выборгъ,"Vyborg"""
6,Вятскаго,Viatskago
7,Екатеринославск,Ekaterinoslavsk
8,Иркутскъ,"Irkutsk"""
9,Кавказск,Kavkazsk
10,Казанск,Kazansk
11,Калужск,Kaluzhsk
12,Кіевск,Kіevsk
13,Кострома,Kostroma
14,Курскаго,Kurskago
15,Могилевск,Mogilevsk
16,Нижегородск,Nizhegorodsk
17,Новогородск,Novogorodsk
18,Новогород - Сѣверск,Novogorod - Seversk
19,Олонецк,Olonetsk
20,Орловск,Orlovsk
21,Пензенск,Penzensk
22,Пермск,Permsk
23,Полотск,Polotsk
24,Псковск,Pskovsk
25,Ревельск,Revel'sk
26,Рижск,Rizhsk
27,Рязанск,Riazansk
28,Саратовск,Saratovsk
29,Синбирск,Sinbirsk
30,Смоленск,Smolensk
31,Тамбовск,Tambovsk
32,Тверск,Tversk
33,Тобольск,Tobol'sk
34,Тульск,Tul'sk
35,Уфимск,Ufimsk
36,Харьковск,Khar'kovsk
37,Черниговск,Chernigovsk
38,Ярославск,Iaroslavsk
