,uy_id,result_placename,searched_placename,admin1,country_name,lat,lng,src_id,country_code,url,src,namiest,uezd,partof_id
0,156,not_found,иолтавск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=46.07&username=jaguillette&featureClass=P&east=39.14&name=%D0%B8%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D1%81%D0%BA&north=49.99&west=29.6,geonames,екатеринославск,иолтавск,8
1,156,not_found,иолтав,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=46.07&username=jaguillette&featureClass=P&east=39.14&name=%D0%B8%D0%BE%D0%BB%D1%82%D0%B0%D0%B2&north=49.99&west=29.6,geonames,екатеринославск,иолтавск,8
2,157,not_found,вытегр,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=57.783333&username=jaguillette&featureClass=P&east=38.35&name=%D0%B2%D1%8B%D1%82%D0%B5%D0%B3%D1%80&north=65.783333&west=30.35,geonames,олонецк,вытегр,20
3,158,Lebedin,лебедин,Kursk,Russia,51.54083,35.96667,536544,RU,http://api.geonames.org/search?type=json&south=48.4869&username=jaguillette&featureClass=P&east=38.2875&name=%D0%BB%D0%B5%D0%B1%D0%B5%D0%B4%D0%B8%D0%BD&north=51.5689&west=33.5563,geonames,харьковск,лебедин,37
4,158,Lebedyn,лебедин,Sumy,Ukraine,50.58518,34.4849,613273,UA,http://api.geonames.org/search?type=json&south=48.4869&username=jaguillette&featureClass=P&east=38.2875&name=%D0%BB%D0%B5%D0%B1%D0%B5%D0%B4%D0%B8%D0%BD&north=51.5689&west=33.5563,geonames,харьковск,лебедин,37
5,159,not_found,зеликолуцк,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=55.1937102573&username=jaguillette&featureClass=P&east=32.1900482178&name=%D0%B7%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%BB%D1%83%D1%86%D0%BA&north=59.0651312501&west=24.1218047142,geonames,псковск,зеликолуцк,25
6,160,not_found,екатеринбургск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=54.013889&username=jaguillette&featureClass=P&east=60.248889&name=%D0%B5%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D1%81%D0%BA&north=62.013889&west=52.248889,geonames,пермск,екатеринбургск,23
7,160,not_found,екатеринбург,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=54.013889&username=jaguillette&featureClass=P&east=60.248889&name=%D0%B5%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3&north=62.013889&west=52.248889,geonames,пермск,екатеринбургск,23
8,161,not_found,белаозерск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=57.1&username=jaguillette&featureClass=P&east=39.89&name=%D0%B1%D0%B5%D0%BB%D0%B0%D0%BE%D0%B7%D0%B5%D1%80%D1%81%D0%BA&north=61.31&west=28.65,geonames,новогородск,белаозерск,18
9,161,not_found,белаозер,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=57.1&username=jaguillette&featureClass=P&east=39.89&name=%D0%B1%D0%B5%D0%BB%D0%B0%D0%BE%D0%B7%D0%B5%D1%80&north=61.31&west=28.65,geonames,новогородск,белаозерск,18
