,uy_id,result_placename,searched_placename,admin1,country_name,lat,lng,src_id,country_code,url,src,namiest,uezd,partof_id,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
4,157,Vytegra,вытегр,Vologda,Russia,61.00636,36.44811,469960,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=65.783333&west=30.35&east=38.35&name=%D0%B2%D1%8B%D1%82%D0%B5%D0%B3%D1%80%D0%B0&south=57.783333&featureClass=P,geonames,олонецк,вытегр,20,Stemmer removed “a” when it didn’t need to
,,,,,,,,,,,,,,,
6,158,Lebedyn,лебедин,Sumy,Ukraine,50.58518,34.4849,613273,UA,http://api.geonames.org/search?username=jaguillette&type=json&north=51.5689&west=33.5563&east=38.2875&name=%D0%BB%D0%B5%D0%B1%D0%B5%D0%B4%D0%B8%D0%BD&south=48.4869&featureClass=P,geonames,харьковск,лебедин,37,Confirmed this was the right town
,,,,,,,,,,,,,,,
8,160,not_found,екатеринбургск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=62.013889&west=52.248889&east=60.248889&name=%D0%B5%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D1%81%D0%BA&south=54.013889&featureClass=P,geonames,пермск,екатеринбургск,23,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12,162,not_found,сапожк,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=55.9254&west=38.154&east=41.6952&name=%D1%81%D0%B0%D0%BF%D0%BE%D0%B6%D0%BA&south=53.0517&featureClass=P,geonames,рязанск,сапожк,28,
13,163,not_found,дерптск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=60.9475&west=20.106944&east=28.106944&name=%D0%B4%D0%B5%D1%80%D0%BF%D1%82%D1%81%D0%BA&south=52.9475&featureClass=P,geonames,рижск,дерптск,27,
14,163,Tartu,дерпт,Tartu,Estonia,58.38062,26.72509,588335,EE,http://api.geonames.org/search?username=jaguillette&type=json&north=60.9475&west=20.106944&east=28.106944&name=%D0%B4%D0%B5%D1%80%D0%BF%D1%82&south=52.9475&featureClass=P,geonames,рижск,дерптск,27,
15,164,Karachev,карачев,Brjansk,Russia,53.12292,34.98517,552920,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=54.0138&west=32.7557&east=39.224&name=%D0%BA%D0%B0%D1%80%D0%B0%D1%87%D0%B5%D0%B2&south=51.8511&featureClass=P,geonames,орловск,карачев,21,
16,167,not_found,якск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=52.7866&west=37.234&east=43.0242&name=%D1%8F%D0%BA%D1%81%D0%BA&south=48.1597&featureClass=P,geonames,воронежск,якск,5,
17,167,not_found,як,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=52.7866&west=37.234&east=43.0242&name=%D1%8F%D0%BA&south=48.1597&featureClass=P,geonames,воронежск,якск,5,
